Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1995 [YR1995],2000 [YR2000],2005 [YR2005],2010 [YR2010],2015 [YR2015],2020 [YR2020]
"Stillbirth rate (per 1,000 total births)",SH.DYN.STLB,Thailand,THA,..,..,10.50626255,8.849446302,7.493073763,6.338012891,..
"Stillbirth rate (per 1,000 total births)",SH.DYN.STLB,Timor-Leste,TLS,..,..,20.6200403,18.63598293,15.36000871,13.77704473,..
"Stillbirth rate (per 1,000 total births)",SH.DYN.STLB,Togo,TGO,..,..,28.49155719,26.79068965,24.98048205,23.36669949,..
"Stillbirth rate (per 1,000 total births)",SH.DYN.STLB,Tonga,TON,..,..,8.413283829,8.034862289,7.846634101,7.776037282,..
"Stillbirth rate (per 1,000 total births)",SH.DYN.STLB,Trinidad and Tobago,TTO,..,..,11.88264435,11.35405873,10.3712811,9.646204858,..
"Stillbirth rate (per 1,000 total births)",SH.DYN.STLB,Tunisia,TUN,..,..,16.74283369,13.78250458,12.13866184,11.88998372,..
"Stillbirth rate (per 1,000 total births)",SH.DYN.STLB,Turkiye,TUR,..,..,12.11958126,9.124626421,6.177589063,4.799113158,..
"Stillbirth rate (per 1,000 total births)",SH.DYN.STLB,Turkmenistan,TKM,..,..,10.1082861,9.342398016,8.694657428,8.582216096,..
"Stillbirth rate (per 1,000 total births)",SH.DYN.STLB,Turks and Caicos Islands,TCA,..,..,..,..,..,..,..
"Stillbirth rate (per 1,000 total births)",SH.DYN.STLB,Tuvalu,TUV,..,..,14.75555579,14.40438588,13.64852781,12.68734237,..
"Stillbirth rate (per 1,000 total births)",SH.DYN.STLB,Uganda,UGA,..,..,23.315269,21.26992719,20.77999705,18.98725531,..
"Stillbirth rate (per 1,000 total births)",SH.DYN.STLB,Ukraine,UKR,..,..,6.796028359,5.838123079,5.192124866,4.752429111,..
"Stillbirth rate (per 1,000 total births)",SH.DYN.STLB,United Arab Emirates,ARE,..,..,8.430238062,7.406568537,6.112716684,5.151009902,..
"Stillbirth rate (per 1,000 total births)",SH.DYN.STLB,United Kingdom,GBR,..,..,4.448152558,4.24686781,3.796753932,3.008205963,..
"Stillbirth rate (per 1,000 total births)",SH.DYN.STLB,United States,USA,..,..,3.312032386,2.985313589,2.972871293,3.019307588,..
"Stillbirth rate (per 1,000 total births)",SH.DYN.STLB,Uruguay,URY,..,..,7.3363385,6.464813096,4.874470872,4.833100614,..
"Stillbirth rate (per 1,000 total births)",SH.DYN.STLB,Uzbekistan,UZB,..,..,11.16275451,10.10962805,8.879660416,7.453852299,..
"Stillbirth rate (per 1,000 total births)",SH.DYN.STLB,Vanuatu,VUT,..,..,12.23471991,12.10393318,11.90557763,11.7263615,..
"Stillbirth rate (per 1,000 total births)",SH.DYN.STLB,"Venezuela, RB",VEN,..,..,9.790839298,9.348570248,8.802971629,9.334808803,..
"Stillbirth rate (per 1,000 total births)",SH.DYN.STLB,Vietnam,VNM,..,..,13.26348291,11.04202458,9.618465304,8.447159985,..
"Stillbirth rate (per 1,000 total births)",SH.DYN.STLB,Virgin Islands (U.S.),VIR,..,..,..,..,..,..,..
"Stillbirth rate (per 1,000 total births)",SH.DYN.STLB,West Bank and Gaza,PSE,..,..,14.81889779,13.72276792,12.27277339,11.13751422,..
"Stillbirth rate (per 1,000 total births)",SH.DYN.STLB,"Yemen, Rep.",YEM,..,..,26.58371111,24.00258559,22.03849607,23.4851661,..
"Stillbirth rate (per 1,000 total births)",SH.DYN.STLB,Zambia,ZMB,..,..,20.65850009,19.21923035,17.30690028,15.70935806,..
"Stillbirth rate (per 1,000 total births)",SH.DYN.STLB,Zimbabwe,ZWE,..,..,22.82274673,23.83039145,23.72956658,17.64417922,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Afghanistan,AFG,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Albania,ALB,..,..,..,..,7.07,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Algeria,DZA,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,American Samoa,ASM,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Andorra,AND,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Angola,AGO,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Antigua and Barbuda,ATG,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Argentina,ARG,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Armenia,ARM,..,..,..,..,..,98.95,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Aruba,ABW,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Australia,AUS,..,..,..,..,..,72.58,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Austria,AUT,..,..,..,..,..,109.88,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Azerbaijan,AZE,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,"Bahamas, The",BHS,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Bahrain,BHR,..,..,..,..,..,14.36,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Bangladesh,BGD,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Barbados,BRB,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Belarus,BLR,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Belgium,BEL,..,..,..,..,..,89.76,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Belize,BLZ,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Benin,BEN,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Bermuda,BMU,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Bhutan,BTN,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Bolivia,BOL,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Bosnia and Herzegovina,BIH,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Botswana,BWA,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Brazil,BRA,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,British Virgin Islands,VGB,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Brunei Darussalam,BRN,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Bulgaria,BGR,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Burkina Faso,BFA,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Burundi,BDI,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Cabo Verde,CPV,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Cambodia,KHM,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Cameroon,CMR,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Canada,CAN,..,..,..,..,..,35.29,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Cayman Islands,CYM,..,..,..,..,..,156.75,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Central African Republic,CAF,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Chad,TCD,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Channel Islands,CHI,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Chile,CHL,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,China,CHN,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Colombia,COL,..,..,..,..,..,22.71,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Comoros,COM,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,"Congo, Dem. Rep.",COD,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,"Congo, Rep.",COG,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Costa Rica,CRI,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Cote d'Ivoire,CIV,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Croatia,HRV,..,..,..,..,..,81.24,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Cuba,CUB,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Curacao,CUW,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Cyprus,CYP,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Czechia,CZE,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Denmark,DNK,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Djibouti,DJI,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Dominica,DMA,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Dominican Republic,DOM,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Ecuador,ECU,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,"Egypt, Arab Rep.",EGY,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,El Salvador,SLV,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Equatorial Guinea,GNQ,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Eritrea,ERI,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Estonia,EST,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Eswatini,SWZ,..,..,..,..,0.17,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Ethiopia,ETH,..,..,..,..,0.67,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Faroe Islands,FRO,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Fiji,FJI,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Finland,FIN,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,France,FRA,..,..,..,..,..,58.63,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,French Polynesia,PYF,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Gabon,GAB,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,"Gambia, The",GMB,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Georgia,GEO,..,..,..,..,..,125.01,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Germany,DEU,..,..,..,..,..,108,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Ghana,GHA,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Gibraltar,GIB,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Greece,GRC,..,..,..,..,..,163.54,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Greenland,GRL,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Grenada,GRD,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Guam,GUM,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Guatemala,GTM,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Guinea,GIN,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Guinea-Bissau,GNB,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Guyana,GUY,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Haiti,HTI,..,..,..,..,..,5.88,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Honduras,HND,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,"Hong Kong SAR, China",HKG,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Hungary,HUN,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Iceland,ISL,..,..,..,..,..,101.57,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,India,IND,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Indonesia,IDN,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,"Iran, Islamic Rep.",IRN,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Iraq,IRQ,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Ireland,IRL,..,..,..,..,..,49.56,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Isle of Man,IMN,..,..,..,..,..,52.4,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Israel,ISR,..,..,..,..,..,75.59,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Italy,ITA,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Jamaica,JAM,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Japan,JPN,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Jordan,JOR,..,..,..,..,..,24.49,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Kazakhstan,KAZ,..,..,..,..,..,73.15,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Kenya,KEN,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Kiribati,KIR,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,"Korea, Dem. People's Rep.",PRK,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,"Korea, Rep.",KOR,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Kosovo,XKX,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Kuwait,KWT,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Kyrgyz Republic,KGZ,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Lao PDR,LAO,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Latvia,LVA,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Lebanon,LBN,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Lesotho,LSO,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Liberia,LBR,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Libya,LBY,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Liechtenstein,LIE,..,..,..,..,..,71.94,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Lithuania,LTU,..,..,..,..,..,130.92,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Luxembourg,LUX,..,..,..,..,..,75.83,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,"Macao SAR, China",MAC,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Madagascar,MDG,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Malawi,MWI,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Malaysia,MYS,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Maldives,MDV,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Mali,MLI,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Malta,MLT,..,..,..,..,..,84.85,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Marshall Islands,MHL,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Mauritania,MRT,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Mauritius,MUS,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Mexico,MEX,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,"Micronesia, Fed. Sts.",FSM,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Moldova,MDA,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Monaco,MCO,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Mongolia,MNG,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Montenegro,MNE,..,..,..,..,..,57.68,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Morocco,MAR,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Mozambique,MOZ,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Myanmar,MMR,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Namibia,NAM,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Nauru,NRU,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Nepal,NPL,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Netherlands,NLD,..,..,..,..,..,48.97,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,New Caledonia,NCL,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,New Zealand,NZL,..,..,..,..,..,39.36,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Nicaragua,NIC,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Niger,NER,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Nigeria,NGA,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,North Macedonia,MKD,..,..,..,..,..,61.22,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Northern Mariana Islands,MNP,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Norway,NOR,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Oman,OMN,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Pakistan,PAK,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Palau,PLW,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Panama,PAN,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Papua New Guinea,PNG,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Paraguay,PRY,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Peru,PER,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Philippines,PHL,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Poland,POL,..,..,..,..,..,67.86,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Portugal,PRT,..,..,..,..,..,86.09,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Puerto Rico,PRI,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Qatar,QAT,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Romania,ROU,..,..,..,..,..,60.53,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Russian Federation,RUS,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Rwanda,RWA,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Samoa,WSM,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,San Marino,SMR,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Sao Tome and Principe,STP,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Saudi Arabia,SAU,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Senegal,SEN,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Serbia,SRB,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Seychelles,SYC,..,..,..,..,..,45.21,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Sierra Leone,SLE,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Singapore,SGP,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Sint Maarten (Dutch part),SXM,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Slovak Republic,SVK,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Slovenia,SVN,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Solomon Islands,SLB,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Somalia,SOM,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,South Africa,ZAF,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,South Sudan,SSD,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Spain,ESP,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Sri Lanka,LKA,..,..,..,..,..,2.78,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,St. Kitts and Nevis,KNA,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,St. Lucia,LCA,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,St. Martin (French part),MAF,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,St. Vincent and the Grenadines,VCT,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Sudan,SDN,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Suriname,SUR,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Sweden,SWE,..,..,..,..,..,113.11,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Switzerland,CHE,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Syrian Arab Republic,SYR,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Tajikistan,TJK,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Tanzania,TZA,..,..,..,..,0.35,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Thailand,THA,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Timor-Leste,TLS,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Togo,TGO,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Tonga,TON,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Trinidad and Tobago,TTO,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Tunisia,TUN,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Turkiye,TUR,..,..,..,..,..,47.63,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Turkmenistan,TKM,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Turks and Caicos Islands,TCA,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Tuvalu,TUV,..,..,..,..,..,..,..
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Uganda,UGA,..,..,..,..,..,..,..
