Index,Year,"Region, development group, country or area",Notes,Location code,Type of data,0-4,5-9,10-14, 15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75+,Total
634,2005,   Turkmenistan,,795,B R, 1 575, 2 698, 3 187, 3 898, 5 056, 6 066, 6 656, 7 810, 8 639, 9 296, 9 031, 8 567, 8 625, 9 223, 10 116, 11 396, 111 839
635,2010,   Turkmenistan,,795,B R, 1 276, 1 988, 2 738, 3 419, 4 268, 5 285, 6 262, 6 862, 7 657, 8 011, 8 664, 8 815, 8 838, 9 385, 11 304, 12 573, 107 345
636,2015,   Turkmenistan,,795,B R, 1 400, 1 670, 2 404, 3 182, 3 972, 4 935, 5 965, 6 778, 7 498, 8 093, 8 612, 9 029, 9 119, 9 418, 10 682, 12 088, 104 845
637,2020,   Turkmenistan,,795,B R, 1 443, 1 523, 1 808, 2 863, 4 085, 5 068, 5 807, 6 504, 7 066, 7 615, 8 031, 8 405, 8 656, 8 691, 9 141, 15 857, 102 563
638,1990,   Uzbekistan,,860,B R, 19 100, 22 708, 30 290, 38 125, 42 101, 49 375, 61 225, 75 149, 81 492, 75 014, 65 436, 62 977, 71 826, 71 023, 79 853, 83 688, 929 382
639,1995,   Uzbekistan,,860,B R, 17 580, 20 956, 27 957, 35 191, 38 866, 45 583, 56 519, 69 369, 75 229, 69 260, 60 424, 58 153, 66 320, 65 577, 70 822, 77 281, 855 087
640,2000,   Uzbekistan,,860,B R, 10 930, 19 204, 22 616, 27 644, 35 970, 43 395, 47 710, 55 928, 61 713, 66 384, 64 301, 61 377, 63 319, 67 472, 72 863, 79 509, 800 335
641,2005,   Uzbekistan,,860,B R, 9 492, 15 606, 19 969, 24 625, 31 439, 38 364, 43 689, 49 594, 55 037, 58 422, 59 573, 58 638, 60 804, 65 492, 71 490, 78 008, 740 242
642,2010,   Uzbekistan,,860,B R, 7 859, 12 231, 16 851, 21 042, 26 268, 32 517, 38 520, 42 208, 47 095, 49 276, 53 293, 54 226, 56 585, 61 601, 67 998, 74 200, 661 770
643,2015,   Uzbekistan,,860,B R, 7 557, 10 873, 15 021, 19 156, 23 930, 29 661, 35 390, 39 308, 43 747, 46 292, 49 792, 51 221, 53 501, 60 477, 66 577, 72 649, 625 152
644,2020,   Uzbekistan,,860,B R, 8 499, 9 789, 12 874, 20 123, 29 609, 36 714, 39 752, 41 600, 42 678, 45 003, 45 326, 46 659, 48 275, 48 903, 54 382, 88 457, 618 643
652,1990,   China*,,156,C, 10 028, 9 033, 10 556, 14 714, 21 575, 24 750, 22 230, 17 563, 12 709, 8 978, 7 356, 7 235, 6 150, 4 612, 2 767, 4 151, 184 407
653,1995,   China*,,156,C, 12 362, 11 160, 11 523, 14 494, 21 533, 26 254, 25 853, 22 322, 17 236, 12 737, 10 239, 9 374, 8 381, 6 285, 3 771, 5 656, 219 180
654,2000,   China*,,156,C, 14 690, 13 280, 12 504, 14 313, 21 542, 27 799, 29 486, 27 062, 21 736, 16 469, 13 104, 11 504, 10 597, 7 947, 4 767, 7 152, 253 952
655,2005,   China*,,156,C, 17 700, 15 551, 15 725, 19 177, 25 374, 31 485, 32 756, 29 957, 25 005, 19 744, 16 046, 13 819, 12 761, 9 571, 5 742, 8 614, 299 027
656,2010,   China*,,156,C, 20 680, 17 829, 18 874, 23 871, 29 205, 35 262, 36 169, 32 991, 28 319, 22 995, 18 942, 16 115, 14 905, 11 178, 6 707, 10 061, 344 103
657,2015,   China*,,156,C, 26 331, 20 107, 20 206, 24 916, 30 759, 37 095, 38 705, 35 884, 31 178, 25 715, 21 259, 18 108, 16 574, 12 429, 7 457, 11 187, 377 910
658,2020,   China*,,156,C, 23 876, 19 879, 20 416, 26 373, 34 702, 40 896, 41 030, 38 335, 33 671, 28 634, 23 226, 19 493, 16 762, 13 893, 9 687, 10 850, 401 723
659,1990,"   China, Hong Kong SAR*",,344,B R, 9 996, 15 752, 21 528, 35 595, 43 665, 70 113, 101 879, 99 441, 104 336, 84 038, 85 898, 99 335, 95 650, 74 594, 60 270, 91 839,1 093 929
660,1995,"   China, Hong Kong SAR*",,344,B R, 15 073, 22 771, 26 030, 32 873, 60 584, 100 527, 115 582, 122 783, 112 770, 111 170, 84 339, 86 969, 94 345, 93 083, 75 210, 114 602,1 268 711
661,2000,"   China, Hong Kong SAR*",,344,B R, 11 128, 29 631, 46 037, 39 554, 69 458, 105 405, 134 622, 137 534, 134 745, 120 441, 115 803, 86 627, 88 153, 93 729, 86 994, 143 632,1 443 493
662,2005,"   China, Hong Kong SAR*",,344,B R, 8 346, 25 582, 40 714, 54 789, 76 865, 98 060, 140 539, 142 224, 123 014, 128 529, 118 782, 108 726, 91 007, 91 592, 95 149, 192 196,1 536 114
663,2010,"   China, Hong Kong SAR*",,344,B R, 5 965, 13 633, 35 610, 50 852, 90 877, 125 061, 143 109, 162 145, 129 004, 116 361, 120 160, 105 806, 110 221, 91 248, 93 281, 239 078,1 632 411
664,2015,"   China, Hong Kong SAR*",,344,B R, 6 140, 13 271, 20 010, 41 955, 83 716, 140 353, 172 687, 169 526, 147 620, 129 349, 114 903, 111 165, 105 796, 110 847, 91 037, 261 756,1 720 131
665,2020,"   China, Hong Kong SAR*",,344,B R, 17 189, 19 852, 22 365, 41 529, 109 805, 143 579, 183 006, 178 209, 147 099, 149 644, 124 004, 108 680, 113 721, 107 650, 112 379, 275 811,1 854 522
666,1990,"   China, Macao SAR*",,446,B, 1 165, 2 226, 4 324, 7 684, 13 823, 15 505, 15 860, 11 824, 7 937, 4 529, 3 699, 4 189, 4 612, 3 967, 3 066, 4 258, 108 668
667,1995,"   China, Macao SAR*",,446,B, 2 311, 2 242, 2 750, 5 732, 12 157, 15 833, 17 002, 17 097, 12 487, 8 116, 4 546, 3 938, 4 118, 4 434, 3 599, 4 907, 121 269
668,2000,"   China, Macao SAR*",,446,B,  666, 1 585, 3 612, 4 752, 10 764, 12 894, 15 187, 18 651, 17 025, 13 303, 8 948, 5 067, 3 967, 4 284, 4 124, 6 571, 131 400
669,2005,"   China, Macao SAR*",,446,B, 1 812, 2 331, 2 504, 6 460, 9 913, 13 944, 15 508, 15 980, 18 476, 18 364, 13 585, 9 266, 5 178, 4 170, 4 144, 7 286, 148 921
670,2010,"   China, Macao SAR*",,446,B,  836, 1 437, 2 367, 4 940, 12 425, 15 228, 15 600, 18 785, 20 188, 21 495, 18 099, 13 914, 9 568, 4 820, 4 132, 8 265, 172 099
671,2015,"   China, Macao SAR*",,446,B,  938, 1 789, 2 392, 5 974, 12 758, 17 981, 17 615, 18 590, 21 959, 22 747, 22 589, 18 128, 14 252, 9 506, 4 753, 9 506, 201 477
672,2020,"   China, Macao SAR*",,446,B, 2 752, 3 294, 3 802, 6 589, 12 685, 18 107, 19 987, 17 693, 19 312, 22 760, 21 765, 19 136, 16 899, 12 227, 9 242, 9 919, 216 169
673,1990,"   China, Taiwan Province of China*",,158,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
674,1995,"   China, Taiwan Province of China*",,158,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
675,2000,"   China, Taiwan Province of China*",,158,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
676,2005,"   China, Taiwan Province of China*",,158,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
677,2010,"   China, Taiwan Province of China*",,158,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
678,2015,"   China, Taiwan Province of China*",,158,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
679,2020,"   China, Taiwan Province of China*",,158,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
680,1990,   Dem. People's Republic of Korea,,408,I,  950,  773,  710,  976, 1 671, 2 073, 2 025, 1 706, 1 287,  903,  731,  721,  681,  631,  421,  451, 16 710
681,1995,   Dem. People's Republic of Korea,,408,I,  951,  776,  750,  965, 1 562, 2 003, 2 098, 1 883, 1 494, 1 105,  884,  808,  774,  642,  428,  458, 17 581
682,2000,   Dem. People's Republic of Korea,,408,I,  955,  782,  793,  958, 1 459, 1 940, 2 169, 2 067, 1 705, 1 310, 1 040,  897,  820,  654,  436,  467, 18 452
683,2005,   Dem. People's Republic of Korea,,408,I,  865,  768,  725, 1 195, 1 728, 2 141, 2 279, 2 205, 1 939, 1 613, 1 218, 1 021,  836,  749,  542,  524, 20 348
684,2010,   Dem. People's Republic of Korea,,408,I,  752,  660,  764, 1 094, 1 798, 2 358, 2 543, 2 413, 2 182, 1 914, 1 586, 1 187,  965,  770,  599,  659, 22 244
685,2015,   Dem. People's Republic of Korea,,408,I,  734,  629,  668, 1 139, 1 903, 2 655, 2 744, 2 557, 2 351, 2 147, 1 860, 1 551, 1 148,  897,  617,  748, 24 348
686,2020,   Dem. People's Republic of Korea,,408,I,  643,  534,  574,  962, 1 806, 2 567, 2 847, 2 588, 2 367, 2 217, 2 018, 1 769, 1 461, 1 043,  707,  792, 24 895
687,1990,   Japan,,392,C, 24 226, 29 784, 32 173, 42 053, 67 408, 74 127, 59 080, 49 498, 41 449, 31 821, 25 461, 19 219, 13 612, 9 747, 6 609, 10 285, 536 552
688,1995,   Japan,,392,C, 28 491, 29 000, 31 249, 41 713, 78 636, 97 311, 90 940, 73 557, 55 285, 42 698, 33 510, 25 232, 18 123, 13 688, 8 696, 14 030, 682 159
689,2000,   Japan,,392,C, 34 526, 30 165, 32 375, 44 109, 95 588, 128 332, 131 723, 104 136, 74 005, 57 013, 43 763, 33 117, 25 292, 18 357, 13 839, 23 176, 889 516
690,2005,   Japan,,392,C, 32 099, 31 628, 28 676, 44 855, 131 856, 149 664, 144 226, 127 147, 104 487, 73 244, 57 176, 46 504, 33 170, 25 520, 18 202, 31 903,1 080 357
691,2010,   Japan,,392,C, 34 843, 30 808, 32 393, 42 807, 144 020, 152 230, 143 440, 128 864, 121 784, 94 650, 66 629, 49 652, 37 052, 27 734, 21 144, 33 620,1 161 670
692,2015,   Japan,,392,C, 38 452, 31 632, 28 294, 46 719, 120 646, 141 551, 139 670, 126 425, 118 456, 111 896, 85 171, 58 066, 42 684, 31 285, 23 515, 37 657,1 182 119
693,2020,   Japan,,392,C, 40 627, 30 170, 32 306, 38 194, 67 142, 156 155, 189 148, 172 859, 157 383, 144 880, 123 940, 93 254, 59 086, 39 914, 31 675, 47 107,1 423 840
694,1990,   Mongolia,,496,C R,  174,  172,  150,  167,  397,  351,  316,  291,  312,  306,  234,  163,  79,  73,  59,  55, 3 299
695,1995,   Mongolia,,496,C R,  165,  174,  155,  173,  417,  377,  328,  323,  344,  327,  241,  176,  87,  69,  56,  53, 3 465
696,2000,   Mongolia,,496,C R,  153,  178,  158,  180,  439,  406,  347,  353,  375,  349,  250,  188,  96,  65,  54,  51, 3 642
697,2005,   Mongolia,,496,C R,  175,  186,  163,  189,  468,  439,  365,  381,  403,  372,  262,  203,  107,  70,  60,  57, 3 900
698,2010,   Mongolia,,496,C R,  196,  196,  170,  198,  500,  474,  391,  410,  433,  397,  277,  219,  118,  76,  65,  62, 4 182
699,2015,   Mongolia,,496,C R,  499,  654,  436,  275,  506,  661,  551,  559,  565,  574,  421,  354,  203,  120,  72,  152, 6 602
700,2020,   Mongolia,,496,C R,  362,  396,  640,  604,  594,  570,  702,  543,  437,  567,  514,  428,  287,  178,  115,  145, 7 082
701,1990,   Republic of Korea,,410,C R, 1 381, 1 820, 1 862, 1 433, 1 326, 1 791, 2 188, 1 773, 1 448, 1 113,  837,  675,  472,  308,  230,  241, 18 898
702,1995,   Republic of Korea,,410,C R, 1 252, 1 360, 1 854, 5 762, 8 517, 7 730, 6 665, 5 386, 4 358, 3 368, 2 336, 1 522, 1 006,  703,  619,  690, 53 128
703,2000,   Republic of Korea,,410,C R, 1 497, 1 300, 2 404, 11 554, 17 891, 15 637, 12 825, 10 357, 8 367, 6 473, 4 423, 2 750, 1 790, 1 273, 1 163, 1 308, 101 012
704,2005,   Republic of Korea,,410,C R, 2 968, 2 554, 2 574, 8 883, 37 064, 34 085, 28 100, 22 899, 18 286, 14 991, 10 754, 6 839, 4 101, 3 021, 2 048, 2 593, 201 760
705,2010,   Republic of Korea,,410,C R, 5 332, 15 091, 17 547, 36 038, 57 327, 52 951, 44 147, 40 311, 38 094, 31 920, 24 184, 16 167, 10 378, 6 000, 3 956, 5 041, 404 484
706,2015,   Republic of Korea,,410,C R, 7 871, 20 363, 29 176, 56 214, 93 271, 82 870, 63 830, 52 348, 53 129, 45 591, 34 917, 26 632, 16 891, 10 288, 6 635, 9 922, 609 948
707,2020,   Republic of Korea,,410,C R, 9 776, 25 780, 36 346, 72 605, 117 906, 109 624, 80 806, 64 444, 63 069, 56 060, 44 447, 33 715, 21 825, 13 261, 8 743, 11 410, 769 817
715,1990,   Brunei Darussalam,,96,B, 1 686, 1 424, 1 163, 1 123, 4 020, 5 314, 5 254, 4 033, 2 542, 1 442, 1 053,  804,  490,  380,  260,  356, 31 344
716,1995,   Brunei Darussalam,,96,B,  915, 1 198, 1 207, 1 669, 4 399, 6 903, 6 069, 4 541, 3 192, 2 363, 1 320,  996,  608,  456,  652,  428, 36 916
717,2000,   Brunei Darussalam,,96,B, 1 094,  711, 1 070, 1 874, 4 757, 6 865, 7 419, 5 376, 3 721, 3 122, 2 303, 1 381,  784,  589,  676,  747, 42 489
718,2005,   Brunei Darussalam,,96,B, 1 064,  735,  532, 1 593, 4 668, 6 495, 7 075, 5 653, 3 820, 3 229, 2 806, 2 260,  999,  689,  738,  820, 43 176
719,2010,   Brunei Darussalam,,96,B, 1 080,  735,  544, 1 097, 4 436, 6 447, 6 744, 5 316, 4 053, 3 322, 2 912, 2 810, 1 726,  903,  832,  907, 43 864
720,2015,   Brunei Darussalam,,96,B, 1 095,  746,  549, 1 112, 3 982, 6 258, 6 701, 4 990, 3 729, 3 560, 3 006, 2 931, 2 192, 1 638, 1 030, 1 033, 44 552
721,2020,   Brunei Darussalam,,96,B, 1 371,  870,  642, 1 362, 4 833, 6 720, 7 117, 5 146, 3 497, 3 248, 3 265, 3 054, 2 297, 2 107, 1 751, 1 272, 48 552
722,1990,   Cambodia,,116,B R,  664, 2 254, 3 363, 2 934, 2 411, 2 034, 1 474, 1 106,  855,  623,  453,  413,  384,  157,  63,  103, 19 291
723,1995,   Cambodia,,116,B R, 2 014, 3 105, 6 055, 7 991, 6 154, 4 572, 3 913, 3 089, 2 748, 2 243, 1 521, 1 012,  820,  666,  572,  394, 46 869
724,2000,   Cambodia,,116,B R, 1 729, 12 365, 16 622, 10 986, 6 814, 5 440, 4 233, 4 118, 3 796, 2 551, 1 491, 1 194,  939, 1 084,  433,  652, 74 447
725,2005,   Cambodia,,116,B R,  812, 1 362, 6 258, 8 378, 8 048, 6 770, 5 318, 4 019, 3 644, 3 340, 2 624, 1 942, 1 432,  983,  947,  674, 56 551
726,2010,   Cambodia,,116,B R,  514,  649, 1 022, 5 415, 6 871, 5 325, 3 765, 3 258, 2 795, 2 586, 2 270, 1 562,  914,  835,  333,  502, 38 616
727,2015,   Cambodia,,116,B R,  455,  761,  839, 1 456, 4 783, 5 787, 4 476, 3 275, 2 800, 2 479, 2 131, 1 745, 1 242,  760,  610,  509, 34 108
728,2020,   Cambodia,,116,B R,  554,  928, 1 115, 1 717, 3 079, 5 397, 5 437, 4 214, 3 232, 2 846, 2 336, 1 858, 1 495, 1 061,  624,  718, 36 611
729,1990,   Indonesia,,360,B R, 19 372, 18 835, 20 328, 22 225, 23 657, 24 294, 24 303, 21 635, 18 259, 13 681, 10 692, 7 577, 5 303, 2 651, 1 325, 1 590, 235 727
730,1995,   Indonesia,,360,B R, 13 988, 14 373, 17 266, 19 817, 20 854, 20 618, 19 148, 15 993, 13 099, 9 955, 7 969, 5 867, 4 105, 2 052, 1 025, 1 231, 187 360
731,2000,   Indonesia,,360,B R, 11 203, 13 641, 15 523, 16 071, 15 276, 14 780, 12 934, 9 754, 7 279, 5 684, 4 940, 3 668, 2 882, 1 815, 1 257, 2 285, 138 992
732,2005,   Indonesia,,360,B R, 9 123, 15 962, 16 879, 14 632, 13 087, 11 389, 9 775, 7 866, 5 693, 5 312, 4 144, 3 230, 2 563, 1 595,  994, 1 779, 124 023
733,2010,   Indonesia,,360,B R, 7 577, 9 924, 16 497, 18 042, 14 636, 10 530, 9 162, 9 795, 8 600, 7 231, 6 329, 4 365, 3 218, 1 640, 1 127, 2 292, 130 965
734,2015,   Indonesia,,360,B R, 5 565, 5 996, 9 342, 18 674, 22 016, 18 700, 12 211, 9 000, 8 971, 8 658, 6 743, 5 835, 3 933, 2 582, 1 272, 1 909, 141 407
735,2020,   Indonesia,,360,B R, 5 668, 3 672, 5 375, 11 790, 22 871, 25 691, 19 486, 11 348, 7 991, 8 837, 7 936, 6 132, 5 218, 3 128, 1 998, 1 826, 148 967
736,1990,   Lao People's Democratic Republic,,418,C R, 1 042, 1 234, 1 376, 1 332, 1 264, 1 135,  900,  630,  463,  390,  342,  292,  263,  199,  79,  119, 11 060
737,1995,   Lao People's Democratic Republic,,418,C R,  735,  850, 1 039, 1 183, 1 240, 1 248, 1 195,  975,  768,  509,  408,  341,  306,  266,  171,  93, 11 327
738,2000,   Lao People's Democratic Republic,,418,C R,  769,  849,  979, 1 046, 1 092, 1 077, 1 015,  860,  664,  491,  374,  352,  331,  219,  121,  145, 10 384
739,2005,   Lao People's Democratic Republic,,418,C R,  572,  602,  686,  789,  921, 1 001, 1 015,  927,  752,  563,  412,  334,  326,  267,  137,  137, 9 441
740,2010,   Lao People's Democratic Republic,,418,C R,  671,  742,  874, 1 001, 1 278, 1 444, 1 481, 1 350, 1 052,  751,  618,  514,  436,  266,  135,  209, 12 822
741,2015,   Lao People's Democratic Republic,,418,C R, 1 125,  542,  509,  951, 1 999, 2 435, 2 030, 1 508, 1 434, 1 133,  949,  495,  370,  237,  165,  321, 16 203
742,2020,   Lao People's Democratic Republic,,418,C R,  922,  807,  485,  839, 1 522, 2 294, 2 453, 1 794, 1 463, 1 370, 1 221,  860,  485,  337,  215,  271, 17 338
743,1990,   Malaysia*,,458,C R, 25 459, 20 885, 29 067, 45 185, 49 209, 39 953, 28 473, 18 226, 10 643, 6 185, 3 726, 2 621, 2 104, 2 174, 2 889, 3 313, 290 112
744,1995,   Malaysia*,,458,C R, 38 892, 26 194, 27 112, 50 621, 70 189, 61 506, 45 379, 30 792, 17 957, 10 501, 6 035, 3 912, 3 102, 2 500, 3 335, 4 377, 402 404
745,2000,   Malaysia*,,458,C R, 66 796, 43 872, 36 443, 49 065, 104 116, 110 530, 78 359, 58 448, 35 077, 20 240, 11 877, 6 155, 5 525, 4 029, 3 564, 6 823, 640 919
746,2005,   Malaysia*,,458,C R, 29 409, 44 373, 64 984, 107 669, 116 319, 112 481, 104 693, 73 546, 49 643, 30 121, 17 783, 11 315, 6 583, 5 072, 3 638, 7 334, 784 963
747,2010,   Malaysia*,,458,C R, 27 309, 26 230, 23 246, 88 262, 182 677, 187 595, 124 403, 102 071, 71 019, 42 279, 26 080, 15 772, 10 814, 6 894, 4 513, 8 254, 947 418
748,2015,   Malaysia*,,458,C R, 75 182, 32 462, 27 809, 113 461, 244 690, 246 699, 164 642, 132 707, 93 688, 56 254, 36 692, 22 205, 14 381, 9 516, 4 652, 9 421,1 284 461
749,2020,   Malaysia*,,458,C R, 52 390, 43 623, 25 221, 119 505, 266 397, 265 424, 171 356, 135 959, 93 093, 54 448, 34 747, 21 648, 14 071, 9 091, 4 870, 8 452,1 320 295
750,1990,   Myanmar,,104,C, 2 936, 3 403, 3 487, 5 484, 7 292, 8 156, 7 363, 6 116, 4 551, 3 641, 2 566, 2 002, 1 349, 1 252,  708,  929, 61 235
751,1995,   Myanmar,,104,C, 2 548, 2 949, 2 901, 4 406, 5 778, 6 586, 6 139, 5 231, 4 026, 3 237, 2 383, 1 947, 1 455, 1 122,  634,  832, 52 174
752,2000,   Myanmar,,104,C, 2 293, 2 652, 2 470, 3 563, 4 577, 5 370, 5 240, 4 628, 3 716, 3 006, 2 327, 1 995, 1 599, 1 050,  595,  780, 45 861
753,2005,   Myanmar,,104,C, 2 094, 1 987, 2 185, 2 550, 3 264, 3 682, 4 014, 3 785, 3 258, 2 685, 2 250, 1 848, 1 731, 1 379,  782, 1 025, 38 519
754,2010,   Myanmar,,104,C, 2 050, 1 945, 2 325, 2 716, 3 168, 3 206, 3 343, 3 024, 2 516, 2 127, 1 878, 1 648, 1 702, 1 380,  782, 1 030, 34 840
755,2015,   Myanmar,,104,C, 1 949, 1 848, 2 210, 2 582, 3 012, 3 048, 3 179, 2 875, 2 393, 2 022, 1 786, 1 567, 1 618, 1 312,  744,  986, 33 131
756,2020,   Myanmar,,104,C, 1 905, 1 843, 2 005, 2 490, 3 066, 3 331, 3 102, 2 908, 2 590, 2 398, 2 035, 1 801, 1 642, 1 342, 1 057, 1 033, 34 548
757,1990,   Philippines,,608,C R, 7 573, 6 912, 6 130, 5 608, 5 438, 5 370, 5 078, 4 518, 3 953, 3 537, 3 157, 2 773, 2 678, 3 029, 3 419, 3 551, 72 724
758,1995,   Philippines,,608,C R, 10 413, 8 359, 7 594, 7 032, 8 799, 9 698, 9 073, 7 450, 6 163, 4 676, 3 828, 3 229, 2 804, 2 604, 2 723, 5 376, 99 821
759,2000,   Philippines,,608,C R, 16 696, 12 410, 9 809, 11 786, 15 261, 16 656, 15 861, 13 186, 9 690, 7 590, 5 275, 4 885, 3 773, 3 387, 3 201, 6 725, 156 191
760,2005,   Philippines,,608,C R, 13 361, 10 968, 8 373, 7 433, 9 421, 11 626, 12 259, 11 277, 9 012, 6 619, 5 141, 3 734, 3 335, 2 660, 2 382, 6 844, 124 445
761,2010,   Philippines,,608,C R, 10 876, 8 655, 7 413, 6 270, 6 144, 7 609, 8 905, 9 105, 7 961, 6 279, 4 591, 3 626, 2 584, 2 351, 1 857, 6 440, 100 666
762,2015,   Philippines,,608,C R, 11 014, 8 572, 7 099, 6 920, 7 399, 7 864, 8 328, 8 523, 7 986, 6 753, 5 145, 3 823, 2 947, 2 140, 1 899, 5 667, 102 079
763,2020,   Philippines,,608,C R, 11 620, 8 951, 7 308, 7 137, 8 553, 9 506, 9 141, 8 577, 7 939, 6 912, 5 483, 4 206, 3 174, 2 444, 1 846, 5 623, 108 420
764,1990,   Singapore,,702,B, 7 849, 8 976, 12 589, 19 202, 28 578, 38 659, 40 938, 39 540, 36 040, 30 789, 28 855, 27 600, 20 222, 12 137, 9 811, 19 635, 381 420
765,1995,   Singapore,,702,B, 6 263, 10 282, 12 241, 16 953, 38 122, 58 352, 62 893, 58 781, 54 648, 47 786, 40 380, 37 292, 34 979, 22 872, 12 729, 20 508, 535 081
766,2000,   Singapore,,702,B, 10 821, 19 296, 17 914, 12 910, 26 939, 83 837, 99 578, 81 429, 67 527, 66 582, 62 727, 49 906, 47 126, 43 387, 35 873, 24 168, 750 020
767,2005,   Singapore,,702,B, 10 194, 16 287, 26 309, 27 842, 44 088, 79 868, 111 354, 118 479, 103 436, 81 438, 75 905, 71 177, 53 934, 44 752, 43 432, 43 337, 951 832
768,2010,   Singapore,,702,B, 25 409, 40 178, 37 878, 38 672, 47 817, 120 337, 167 845, 158 552, 129 752, 95 263, 68 811, 63 970, 61 537, 46 956, 43 258, 61 703,1 207 938
769,2015,   Singapore,,702,B, 19 772, 29 496, 48 074, 50 938, 69 270, 92 614, 150 745, 182 668, 173 178, 139 045, 107 596, 75 836, 65 257, 61 212, 45 750, 75 560,1 387 011
770,2020,   Singapore,,702,B, 14 526, 21 565, 34 037, 57 117, 73 249, 98 196, 105 971, 148 141, 179 282, 165 122, 138 256, 103 237, 68 768, 59 361, 55 817, 88 486,1 411 131
771,1990,   Thailand,,764,B R, 13 501, 24 831, 36 622, 40 250, 34 501, 25 383, 17 497, 11 697, 7 617, 5 026, 3 634, 3 185, 3 711, 5 072, 6 179, 6 501, 245 207
772,1995,   Thailand,,764,B R, 15 084, 26 761, 49 469, 64 413, 60 902, 46 551, 32 473, 21 985, 14 427, 9 295, 6 347, 4 945, 4 896, 6 681, 9 127, 10 074, 383 430
773,2000,   Thailand,,764,B R, 20 503, 27 300, 59 060, 97 321, 106 644, 86 430, 61 086, 41 770, 27 857, 17 854, 11 610, 8 481, 7 088, 8 328, 12 968, 15 793, 610 093
774,2005,   Thailand,,764,B R, 38 252, 35 419, 65 330, 144 973, 201 045, 179 421, 128 891, 88 803, 60 017, 39 240, 24 453, 16 922, 13 311, 11 446, 18 367, 27 472,1 093 362
775,2010,   Thailand,,764,B R, 61 907, 52 826, 54 170, 135 896, 284 335, 301 512, 222 471, 153 169, 105 503, 69 334, 44 996, 26 657, 22 524, 16 270, 16 233, 36 697,1 604 500
776,2015,   Thailand,,764,B R, 73 203, 61 768, 58 096, 100 978, 224 078, 310 748, 277 325, 199 222, 137 262, 92 768, 60 654, 37 797, 26 157, 20 575, 17 693, 29 188,1 727 512
777,2020,   Thailand,,764,B R, 76 724, 64 740, 60 891, 105 837, 234 861, 325 701, 290 669, 208 808, 143 867, 97 231, 63 573, 39 615, 27 416, 21 565, 18 545, 30 596,1 810 639
778,1990,   Timor-Leste,,626,B R,  437,  302,  258,  313,  568,  734,  665,  476,  283,  156,  91,  69,  70,  32,  17,  33, 4 504
779,1995,   Timor-Leste,,626,B R,  477,  336,  302,  345,  593,  767,  721,  538,  336,  195,  117,  84,  77,  35,  18,  39, 4 980
780,2000,   Timor-Leste,,626,B R,  521,  374,  352,  381,  619,  800,  784,  609,  395,  239,  148,  100,  84,  38,  20,  43, 5 507
781,2005,   Timor-Leste,,626,B R,  462,  337,  303,  336,  588,  817,  840,  684,  474,  327,  180,  118,  99,  57,  38,  48, 5 708
782,2010,   Timor-Leste,,626,B R,  374,  287,  241,  275,  537,  778,  913,  737,  538,  394,  214,  108,  132,  68,  62,  45, 5 703
783,2015,   Timor-Leste,,626,B R,  222,  176,  167,  181,  280,  344,  410,  475,  363,  244,  172,  110,  67,  68,  44,  49, 3 372
784,2020,   Timor-Leste,,626,B R,  228,  192,  212,  322,  405,  366,  380,  323,  266,  194,  136,  72,  77,  61,  44,  45, 3 323
785,1990,   Viet Nam,,704,C R, 1 215, 1 439, 1 604, 1 553, 1 473, 1 324, 1 037,  735,  540,  455,  399,  341,  307,  233,  93,  140, 12 888
786,1995,   Viet Nam,,704,C R, 2 259, 2 667, 2 942, 2 839, 2 652, 2 350, 1 808, 1 317, 1 020,  766,  661,  543,  465,  374,  201,  211, 23 075
787,2000,   Viet Nam,,704,C R, 2 549, 2 100, 2 258, 2 531, 2 620, 2 481, 2 225, 1 729, 1 199,  876,  681,  743,  613,  492,  541,  291, 23 929
788,2005,   Viet Nam,,704,C R, 2 207, 1 902, 1 573, 1 713, 1 957, 2 049, 1 960, 1 749, 1 338,  950,  700,  574,  605,  519,  419,  447, 20 662
789,2010,   Viet Nam,,704,C R, 1 351, 1 493, 1 760, 2 015, 2 571, 2 903, 2 959, 2 714, 2 116, 1 512, 1 246, 1 035,  879,  536,  273,  422, 25 785
790,2015,   Viet Nam,,704,C R, 1 679, 1 518, 1 629, 2 031, 2 611, 3 240, 3 400, 3 211, 2 814, 2 134, 1 624, 1 431, 1 141, 1 069,  592,  501, 30 625
791,2020,   Viet Nam,,704,C R, 1 680, 1 651, 1 522, 1 769, 2 397, 2 996, 3 391, 3 299, 2 978, 2 485, 2 064, 1 784, 1 332, 1 246,  950,  752, 32 296
799,1990,   Afghanistan,,4,B R, 1 547, 1 640, 2 020, 2 559, 3 167, 3 374, 2 922, 2 216, 1 587, 1 162,  889,  730,  550,  377,  150,  238, 25 128
