Index,Year,"Region, development group, country or area",Notes,Location code,Type of data,0-4,5-9,10-14, 15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75+,Total
506,1995,   Gambia,,270,B R, 7 509, 6 286, 5 145, 7 456, 9 625, 11 787, 9 718, 6 026, 4 852, 4 044, 3 430, 2 104, 1 684,  982,  561,  839, 82 048
507,2000,   Gambia,,270,B R, 8 961, 7 505, 6 233, 8 841, 11 304, 13 925, 11 390, 7 017, 5 632, 4 829, 4 136, 2 611, 2 090, 1 098,  628,  938, 97 138
508,2005,   Gambia,,270,B R, 8 439, 7 232, 6 263, 8 336, 10 342, 12 889, 11 201, 7 921, 6 404, 5 144, 4 306, 2 900, 2 321, 1 030,  589,  879, 96 196
509,2010,   Gambia,,270,B R, 8 097, 7 148, 6 514, 7 999, 9 539, 12 075, 11 340, 9 235, 7 512, 5 668, 4 636, 3 323, 2 658,  980,  561,  838, 98 123
510,2015,   Gambia,,270,B R, 8 102, 6 052, 5 437, 5 913, 8 723, 10 811, 11 919, 10 562, 8 994, 7 738, 5 711, 4 337, 3 074, 2 164,  957, 1 007, 101 501
511,2020,   Gambia,,270,B R, 5 859, 5 599, 4 688, 6 790, 10 500, 13 870, 12 983, 11 978, 10 794, 9 699, 7 515, 4 994, 3 642, 2 220, 1 526, 1 109, 113 766
512,1990,   Ghana,,288,B R, 12 159, 12 600, 10 581, 9 004, 6 280, 5 503, 4 581, 3 917, 3 744, 3 055, 2 547, 1 880, 2 007, 1 562, 1 400, 2 210, 83 030
513,1995,   Ghana,,288,B R, 17 032, 11 219, 11 068, 10 002, 12 239, 12 497, 11 663, 9 581, 8 341, 6 341, 4 749, 3 590, 2 754, 2 408, 1 819, 2 120, 127 423
514,2000,   Ghana,,288,B R, 13 980, 14 250, 12 127, 10 309, 7 151, 6 247, 5 313, 4 342, 4 318, 3 573, 2 804, 2 226, 2 190, 1 786, 1 602, 5 061, 97 279
515,2005,   Ghana,,288,B R, 10 940, 13 527, 13 775, 14 629, 16 625, 15 554, 14 866, 12 395, 10 625, 9 433, 6 676, 6 060, 3 936, 3 595, 2 751, 4 140, 159 527
516,2010,   Ghana,,288,B R, 10 933, 14 132, 15 356, 18 796, 24 789, 25 211, 17 908, 13 707, 10 361, 6 848, 5 351, 3 284, 3 409, 2 212, 2 900, 4 833, 180 030
517,2015,   Ghana,,288,B R, 12 551, 10 227, 12 155, 15 972, 23 249, 30 767, 30 541, 23 491, 17 605, 13 653, 9 451, 6 867, 4 720, 3 284, 2 487, 4 006, 221 026
518,2020,   Ghana,,288,B R, 14 637, 11 660, 10 094, 14 257, 21 704, 30 228, 35 059, 32 631, 24 078, 18 326, 13 923, 9 532, 7 191, 4 081, 3 338, 3 664, 254 403
519,1990,   Guinea,,324,C B R, 20 697, 24 043, 28 571, 24 002, 20 114, 17 364, 14 752, 12 296, 10 363, 8 480, 7 241, 6 635, 2 849, 1 528, 1 075, 1 250, 201 260
520,1995,   Guinea,,324,C B R, 40 503, 46 721, 55 535, 45 918, 38 165, 32 587, 27 765, 23 494, 20 149, 16 486, 14 034, 12 916, 5 124, 2 775, 2 030, 2 335, 386 537
521,2000,   Guinea,,324,C B R, 28 335, 33 076, 39 298, 33 375, 28 120, 24 452, 20 746, 17 111, 14 253, 11 662, 9 978, 9 114, 4 121, 2 196, 1 506, 1 765, 279 108
522,2005,   Guinea,,324,C B R, 9 811, 12 218, 14 470, 13 979, 12 459, 11 662, 9 753, 7 246, 5 247, 4 294, 3 770, 3 306, 2 488, 1 263,  692,  870, 113 528
523,2010,   Guinea,,324,C B R, 7 397, 9 518, 11 271, 11 669, 10 727, 10 317, 8 527, 6 033, 4 066, 3 327, 2 965, 2 558, 2 341, 1 176,  601,  774, 93 267
524,2015,   Guinea,,324,C B R, 5 735, 7 425, 8 822, 9 350, 8 750, 8 437, 6 897, 4 788, 3 155, 2 578, 2 316, 2 005, 1 888,  947,  480,  620, 74 193
525,2020,   Guinea,,324,C B R, 2 973, 3 827, 6 418, 9 052, 10 472, 9 954, 8 482, 6 192, 4 006, 2 659, 1 931, 1 584, 1 421, 1 343,  566,  505, 71 385
526,1990,   Guinea-Bissau,,624,B R, 1 085,  972,  899,  817,  676,  672,  607,  507,  340,  284,  231,  154,  181,  127,  64,  73, 7 689
527,1995,   Guinea-Bissau,,624,B R, 2 011, 1 800, 1 471, 1 314, 1 138, 1 160, 1 088,  988,  743,  591,  429,  320,  317,  222,  111,  130, 13 833
528,2000,   Guinea-Bissau,,624,B R, 1 506, 1 349, 1 003,  884,  797,  827,  795,  764,  615,  475,  322,  258,  228,  160,  80,  92, 10 155
529,2005,   Guinea-Bissau,,624,B R, 1 578, 1 439, 1 087,  982,  839,  851,  790,  742,  585,  451,  300,  242,  208,  139,  67,  80, 10 380
530,2010,   Guinea-Bissau,,624,B R, 1 601, 1 218, 1 063,  796,  842,  982,  894,  753,  654,  508,  391,  247,  184,  145,  97,  88, 10 463
531,2015,   Guinea-Bissau,,624,B R, 1 664, 1 269,  908,  778,  790, 1 058, 1 057,  850,  656,  538,  414,  309,  195,  130,  101,  109, 10 826
532,2020,   Guinea-Bissau,,624,B R, 1 636,  827,  436,  521,  895,  927,  883,  743,  583,  470,  358,  278,  112,  76,  58,  64, 8 867
533,1990,   Liberia,,430,B R, 4 819, 4 639, 5 128, 6 516, 7 209, 6 642, 5 519, 4 248, 3 041, 2 064, 1 362,  896,  581,  431,  410,  419, 53 924
534,1995,   Liberia,,430,B R, 9 313, 9 152, 8 677, 11 393, 14 578, 14 409, 12 395, 9 927, 7 284, 5 045, 3 316, 2 190, 1 422,  918,  799,  829, 111 647
535,2000,   Liberia,,430,B R, 6 295, 7 206, 6 081, 6 450, 9 778, 10 830, 9 475, 7 972, 5 983, 4 252, 2 836, 1 827, 1 256,  750,  546,  592, 82 129
536,2005,   Liberia,,430,B R, 3 366, 4 433, 4 488, 3 612, 5 119, 6 977, 5 755, 5 293, 3 999, 2 873, 2 004, 1 198,  888,  572,  266,  354, 51 197
537,2010,   Liberia,,430,B R, 3 679, 4 842, 4 894, 3 978, 5 701, 7 801, 6 447, 5 933, 4 488, 3 225, 2 249, 1 342,  994,  640,  297,  392, 56 902
538,2015,   Liberia,,430,B R, 2 916, 3 020, 3 509, 5 673, 6 950, 8 567, 8 857, 6 594, 5 916, 4 491, 3 001, 1 893, 1 114,  788,  403,  387, 64 079
539,2020,   Liberia,,430,B R,  625, 1 280, 1 500, 3 363, 6 748, 6 871, 7 038, 6 830, 4 873, 4 365, 3 124, 1 804, 1 097,  581,  328,  267, 50 694
540,1990,   Mali,,466,B R, 9 927, 14 320, 11 659, 8 004, 6 199, 6 214, 4 992, 3 556, 3 592, 2 417, 2 254, 2 145, 1 954, 1 598, 1 543, 1 675, 82 049
541,1995,   Mali,,466,B R, 9 145, 15 488, 14 687, 10 123, 7 614, 6 922, 5 688, 3 891, 3 876, 2 400, 2 142, 2 091, 1 737, 1 561, 1 542, 1 964, 90 871
542,2000,   Mali,,466,B R, 6 860, 15 378, 17 400, 13 972, 9 507, 7 606, 6 304, 4 942, 3 897, 2 679, 2 244, 1 622, 1 528, 1 015,  944, 1 854, 97 752
543,2005,   Mali,,466,B R, 4 510, 8 195, 14 858, 17 843, 16 938, 14 264, 12 657, 11 050, 8 596, 6 812, 4 694, 3 941, 2 763, 2 351, 1 737, 2 135, 133 344
544,2010,   Mali,,466,B R, 11 975, 18 411, 21 151, 25 763, 22 805, 20 678, 14 437, 10 961, 8 084, 5 893, 4 354, 2 803, 1 991, 1 259, 1 120, 1 403, 173 088
545,2015,   Mali,,466,B R, 8 757, 11 913, 16 042, 20 525, 27 646, 28 988, 26 326, 19 781, 15 749, 12 425, 8 882, 6 122, 3 885, 2 621, 1 662, 1 894, 213 218
546,2020,   Mali,,466,B R, 10 836, 10 606, 12 541, 17 532, 24 058, 32 314, 32 338, 28 413, 22 131, 17 817, 13 447, 9 121, 6 063, 3 924, 2 652, 2 515, 246 308
547,1990,   Mauritania,,478,C R, 7 526, 5 932, 3 397, 4 329, 7 065, 8 754, 6 664, 4 643, 3 047, 1 937, 1 724,  906,  732,  314,  263,  336, 57 569
548,1995,   Mauritania,,478,C R, 5 443, 4 824, 3 180, 3 162, 4 567, 6 305, 6 091, 4 451, 3 023, 1 959, 1 437, 1 027,  645,  410,  230,  261, 47 015
549,2000,   Mauritania,,478,C R, 3 335, 3 132, 2 367, 2 081, 2 496, 3 471, 3 938, 3 330, 2 356, 1 570, 1 072,  779,  530,  337,  203,  166, 31 163
550,2005,   Mauritania,,478,C R, 3 245, 3 132, 2 660, 2 293, 2 341, 3 015, 3 724, 3 639, 2 839, 1 957, 1 317,  925,  655,  436,  271,  193, 32 642
551,2010,   Mauritania,,478,C R, 6 725, 5 427, 4 316, 4 171, 4 854, 5 021, 4 601, 3 768, 2 915, 2 104, 1 505, 1 150,  738,  533,  404,  514, 48 746
552,2015,   Mauritania,,478,C R, 14 169, 10 854, 8 273, 8 284, 10 064, 9 926, 8 315, 6 432, 4 971, 3 658, 2 674, 2 146, 1 333, 1 008,  802, 1 161, 94 070
553,2020,   Mauritania,,478,C R, 12 561, 11 322, 9 748, 9 190, 8 831, 11 176, 10 342, 8 030, 6 380, 5 094, 3 608, 2 439, 1 761, 1 038,  723,  960, 103 203
554,1990,   Niger,,562,B R, 3 349, 4 617, 4 048, 4 372, 4 984, 5 670, 5 674, 5 079, 4 181, 3 424, 2 780, 1 985, 1 663, 1 191, 1 004, 1 201, 55 222
555,1995,   Niger,,562,B R, 4 542, 5 810, 5 270, 6 060, 6 306, 6 850, 6 715, 6 669, 5 569, 4 092, 3 153, 2 313, 2 050, 1 606, 1 252, 1 494, 69 751
556,2000,   Niger,,562,B R, 7 917, 6 129, 5 118, 5 220, 6 455, 5 232, 4 788, 5 224, 4 523, 1 433, 2 187, 1 102, 1 381,  436,  485,  562, 58 192
557,2005,   Niger,,562,B R, 7 557, 6 679, 5 115, 4 719, 6 281, 5 280, 4 850, 5 126, 4 828, 2 326, 1 755, 1 469, 1 507,  838,  405,  459, 59 194
558,2010,   Niger,,562,B R, 7 131, 5 827, 5 587, 6 320, 5 775, 5 706, 4 352, 4 334, 3 952, 2 442, 2 240, 1 415, 1 831, 1 300,  861,  969, 60 042
559,2015,   Niger,,562,B R, 12 432, 11 664, 9 471, 8 645, 13 229, 12 239, 11 353, 10 476, 9 118, 5 802, 4 413, 3 074, 3 393, 2 257, 1 200, 1 149, 119 915
560,2020,   Niger,,562,B R, 11 539, 12 312, 12 414, 12 346, 15 892, 16 757, 17 015, 16 965, 14 071, 9 016, 7 511, 4 805, 4 930, 3 111, 1 691, 1 644, 162 019
561,1990,   Nigeria,,566,C R, 59 306, 27 229, 15 556, 15 053, 21 269, 31 503, 27 653, 20 385, 13 834, 8 569, 6 429, 3 000, 2 683, 1 099, 1 127, 1 471, 256 166
562,1995,   Nigeria,,566,C R, 56 892, 26 120, 20 521, 14 682, 17 421, 25 311, 28 370, 23 042, 16 414, 10 746, 7 195, 4 523, 2 725, 1 815, 1 068, 1 246, 258 091
563,2000,   Nigeria,,566,C R, 56 818, 26 084, 23 289, 17 579, 16 030, 21 338, 26 808, 25 682, 19 711, 13 569, 8 963, 5 854, 3 621, 2 269, 1 440, 1 156, 270 211
564,2005,   Nigeria,,566,C R, 112 842, 51 992, 49 395, 40 939, 33 196, 37 662, 49 375, 53 700, 45 817, 32 854, 21 855, 14 206, 9 107, 5 664, 3 524, 2 484, 564 612
565,2010,   Nigeria,,566,C R, 77 477, 56 080, 47 635, 42 968, 36 200, 43 065, 47 706, 54 013, 52 766, 43 446, 29 827, 18 391, 11 238, 7 051, 4 085, 4 700, 576 648
566,2015,   Nigeria,,566,C R, 71 127, 51 931, 43 658, 45 755, 49 534, 59 344, 64 602, 61 427, 54 995, 47 122, 38 958, 28 156, 18 392, 10 813, 6 453, 5 620, 657 887
567,2020,   Nigeria,,566,C R, 64 915, 43 865, 38 253, 42 877, 53 960, 71 361, 78 528, 79 917, 65 889, 50 534, 41 391, 28 964, 22 857, 15 443, 8 232, 6 692, 713 678
568,1990,   Saint Helena*,"4, 5",654,C,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,  110
569,1995,   Saint Helena*,"4, 5",654,C,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,  70
570,2000,   Saint Helena*,"4, 5",654,C,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,  61
571,2005,   Saint Helena*,"4, 5",654,C,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,  85
572,2010,   Saint Helena*,"4, 5",654,C,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,  136
573,2015,   Saint Helena*,"4, 5",654,C,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,  251
574,2020,   Saint Helena*,"4, 5",654,C,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,  306
575,1990,   Senegal,,686,B R, 7 627, 9 707, 12 817, 14 143, 15 573, 15 430, 13 398, 11 141, 9 892, 8 043, 6 991, 5 719, 3 285, 1 870, 1 443, 1 761, 138 840
576,1995,   Senegal,,686,B R, 8 362, 10 490, 13 565, 14 754, 17 050, 17 173, 14 838, 12 198, 10 861, 8 439, 7 117, 5 610, 3 172, 1 648, 1 081,  807, 147 165
577,2000,   Senegal,,686,B R, 6 836, 9 175, 12 325, 13 611, 15 140, 14 443, 12 100, 9 560, 8 483, 6 551, 5 570, 4 250, 2 087,  852,  362,  147, 121 492
578,2005,   Senegal,,686,B R, 6 735, 8 925, 11 678, 13 412, 15 835, 15 637, 13 416, 10 536, 8 847, 6 794, 5 546, 4 140, 1 960,  815,  334,  244, 124 854
579,2010,   Senegal,,686,B R, 6 846, 8 867, 11 407, 13 657, 17 120, 17 750, 15 760, 12 495, 10 021, 7 726, 6 115, 4 328, 2 088,  908,  368,  423, 135 879
580,2015,   Senegal,,686,B R, 7 181, 9 281, 11 784, 14 879, 18 164, 18 494, 16 391, 12 786, 10 420, 8 066, 6 173, 4 279, 2 069,  855,  312,  268, 141 402
581,2020,   Senegal,,686,B R, 7 391, 9 464, 11 987, 15 779, 19 447, 19 262, 16 743, 12 996, 10 590, 8 304, 6 161, 4 187, 1 976,  786,  264,  254, 145 591
582,1990,   Sierra Leone,,694,B R, 13 627, 17 544, 18 140, 13 919, 12 105, 9 641, 7 229, 6 267, 4 496, 3 568, 3 016, 2 535, 3 099, 2 171, 2 561, 2 980, 122 898
583,1995,   Sierra Leone,,694,B R, 4 191, 7 104, 10 025, 10 059, 7 499, 5 046, 3 128, 1 998, 1 196,  742,  556,  595,  787,  755, 1 060, 1 196, 55 937
584,2000,   Sierra Leone,,694,B R, 3 884, 6 372, 9 281, 9 772, 7 725, 5 288, 3 216, 2 089, 1 231,  743,  523,  523,  748,  722,  954, 1 113, 54 184
585,2005,   Sierra Leone,,694,B R, 6 972, 10 426, 11 660, 11 340, 9 627, 7 254, 4 835, 3 797, 2 509, 1 837, 1 400, 1 044,  940,  921,  971, 1 176, 76 709
586,2010,   Sierra Leone,,694,B R, 2 310, 4 566, 6 062, 8 082, 6 777, 5 100, 3 046, 2 131, 1 277,  802,  529,  403,  508,  584,  642,  803, 43 622
587,2015,   Sierra Leone,,694,B R, 1 738, 3 116, 4 018, 6 392, 5 492, 4 306, 2 394, 1 646,  938,  541,  315,  216,  366,  466,  485,  648, 33 077
588,2020,   Sierra Leone,,694,B R, 1 347, 1 533, 2 429, 3 318, 5 459, 4 849, 3 725, 2 146, 1 593,  955,  618,  452,  442,  476,  434,  632, 30 408
589,1990,   Togo,,768,C R, 5 346, 6 045, 6 280, 4 496, 3 804, 3 726, 3 226, 2 831, 2 026, 1 631, 1 192,  661,  596,  424,  196,  423, 42 903
590,1995,   Togo,,768,C R, 6 164, 6 678, 6 971, 5 606, 4 553, 4 382, 3 908, 3 385, 2 555, 1 973, 1 504,  900,  707,  534,  299,  608, 50 727
591,2000,   Togo,,768,C R, 7 528, 7 839, 8 358, 7 664, 6 743, 6 450, 5 934, 5 072, 3 891, 2 893, 2 172, 1 511, 1 140,  659,  417,  841, 69 112
592,2005,   Togo,,768,C R, 10 897, 11 378, 12 128, 11 313, 10 178, 9 653, 8 956, 7 828, 6 070, 4 565, 3 304, 2 395, 1 719, 1 133,  679, 1 037, 103 233
593,2010,   Togo,,768,C R, 13 301, 15 213, 16 836, 13 882, 11 866, 11 740, 11 334, 10 297, 7 618, 5 780, 3 749, 2 900, 1 739, 1 345,  676, 1 148, 129 424
594,2015,   Togo,,768,C R, 14 434, 15 911, 17 683, 15 069, 13 090, 12 779, 12 149, 11 106, 8 349, 6 353, 4 240, 3 047, 2 003, 1 435,  831, 1 061, 139 540
595,2020,   Togo,,768,C R, 13 458, 12 105, 13 368, 14 940, 13 882, 13 242, 13 162, 12 204, 10 630, 7 960, 5 940, 3 909, 2 807, 1 821, 1 214, 1 165, 141 807
610,1990,   Kazakhstan,,398,B R, 43 741, 54 208, 70 518, 88 017, 95 830, 108 340, 128 779, 158 234, 181 260, 165 751, 146 508, 128 878, 125 911, 82 198, 35 197, 52 794,1 666 164
611,1995,   Kazakhstan,,398,B R, 34 431, 49 325, 60 996, 75 135, 87 270, 99 880, 113 096, 136 412, 156 786, 155 954, 141 541, 124 588, 116 229, 73 089, 29 089, 43 634,1 497 455
612,2000,   Kazakhstan,,398,B R, 23 993, 43 674, 50 160, 60 688, 77 712, 90 388, 95 417, 111 939, 130 018, 145 717, 136 239, 119 415, 105 587, 66 440, 26 477, 39 716,1 323 580
613,2005,   Kazakhstan,,398,B R, 27 644, 45 389, 55 216, 81 404, 137 795, 122 459, 103 199, 107 442, 122 813, 136 799, 137 961, 128 011, 106 631, 75 795, 42 684, 41 578,1 472 820
614,2010,   Kazakhstan,,398,B R, 24 962, 51 771, 56 665, 86 545, 164 105, 190 304, 134 481, 110 712, 117 039, 130 876, 133 884, 129 715, 113 477, 76 778, 48 980, 54 861,1 625 155
615,2015,   Kazakhstan,,398,B R, 21 367, 52 395, 63 195, 82 350, 156 197, 212 021, 196 919, 139 867, 119 244, 114 082, 122 704, 113 983, 108 003, 105 049, 70 647, 79 805,1 757 828
616,2020,   Kazakhstan,,398,B R, 22 755, 48 975, 61 045, 87 054, 157 950, 216 797, 220 883, 199 477, 140 426, 112 131, 115 677, 109 833, 101 148, 101 409, 71 899, 82 638,1 850 097
617,1990,   Kyrgyzstan,,417,B R, 10 545, 13 197, 14 841, 16 502, 16 750, 18 843, 22 258, 24 204, 23 187, 20 345, 17 601, 16 452, 15 067, 12 457, 9 635, 8 532, 260 416
618,1995,   Kyrgyzstan,,417,B R,  862, 8 745, 10 822, 12 163, 15 029, 13 467, 14 790, 19 241, 21 208, 20 522, 18 033, 16 003, 14 916, 12 662, 9 119, 9 056, 216 638
619,2000,   Kyrgyzstan,,417,B R, 2 581, 6 676, 8 147, 8 971, 9 690, 9 947, 10 825, 14 073, 15 113, 14 414, 12 198, 12 033, 11 024, 10 453, 9 714, 7 068, 162 927
620,2005,   Kyrgyzstan,,417,B R, 1 856, 2 966, 4 933, 6 654, 10 147, 8 543, 6 964, 7 798, 10 507, 11 743, 11 021, 9 944, 9 878, 8 279, 7 621, 9 210, 128 064
621,2010,   Kyrgyzstan,,417,B R, 1 966, 2 195, 3 209, 6 704, 8 850, 6 658, 5 807, 6 013, 6 580, 8 121, 8 542, 7 666, 5 338, 4 989, 4 240, 7 718, 94 596
622,2015,   Kyrgyzstan,,417,B R,  759, 2 094, 2 110, 3 496, 8 114, 9 567, 6 795, 5 501, 5 342, 5 504, 6 269, 6 876, 5 999, 3 975, 4 177, 6 038, 82 616
623,2020,   Kyrgyzstan,,417,B R,  753, 1 145, 2 278, 2 664, 5 370, 9 487, 10 387, 7 507, 5 917, 5 328, 4 705, 5 449, 5 755, 4 814, 3 480, 5 417, 80 456
624,1990,   Tajikistan,,762,B R, 5 125, 6 331, 8 239, 9 687, 9 859, 10 785, 12 878, 15 638, 16 921, 15 477, 13 283, 12 251, 13 006, 12 863, 13 011, 12 618, 187 972
625,1995,   Tajikistan,,762,B R, 3 674, 4 538, 6 057, 7 166, 7 711, 8 617, 9 883, 11 750, 13 110, 13 093, 12 181, 11 100, 10 818, 10 429, 10 887, 10 880, 151 894
626,2000,   Tajikistan,,762,B R, 2 586, 3 195, 4 477, 5 362, 6 348, 7 336, 7 901, 9 068, 10 651, 12 081, 12 369, 11 132, 9 782, 9 204, 9 644, 10 517, 131 653
627,2005,   Tajikistan,,762,B R, 2 052, 2 536, 3 809, 4 570, 5 607, 6 546, 7 270, 8 403, 9 652, 10 983, 11 685, 11 301, 10 430, 9 392, 8 454, 8 713, 121 403
628,2010,   Tajikistan,,762,B R, 1 685, 2 081, 3 451, 4 156, 5 338, 6 314, 7 264, 8 468, 9 489, 10 840, 12 022, 12 470, 12 017, 10 042, 7 943, 8 200, 121 780
629,2015,   Tajikistan,,762,B R, 1 369, 1 845, 2 743, 3 730, 4 654, 5 700, 6 634, 7 682, 8 764, 9 920, 11 151, 11 934, 11 917, 10 708, 9 402, 10 486, 118 639
630,2020,   Tajikistan,,762,B R, 1 515, 1 996, 2 870, 3 813, 4 692, 5 748, 6 678, 7 715, 8 788, 9 933, 11 148, 11 931, 11 873, 10 665, 9 362, 10 447, 119 174
631,1990,   Turkmenistan,,795,B R, 3 560, 4 636, 5 903, 6 931, 7 022, 7 654, 9 151, 11 151, 12 095, 11 062, 9 527, 8 804, 9 327, 9 166, 9 232, 8 953, 134 174
632,1995,   Turkmenistan,,795,B R, 3 440, 4 441, 5 674, 6 696, 6 830, 7 490, 8 984, 10 958, 11 884, 10 874, 9 375, 8 696, 9 282, 9 188, 9 293, 9 017, 132 122
633,2000,   Turkmenistan,,795,B R, 1 818, 3 440, 3 876, 4 437, 5 324, 5 998, 6 373, 7 421, 8 191, 8 758, 8 383, 7 706, 7 429, 7 433, 7 760, 8 463, 102 810
634,2005,   Turkmenistan,,795,B R, 1 736, 3 359, 3 776, 4 320, 5 202, 5 896, 6 281, 7 307, 8 044, 8 597, 8 205, 7 597, 7 544, 7 537, 7 726, 8 087, 101 214
635,2010,   Turkmenistan,,795,B R, 1 249, 2 211, 3 064, 3 552, 4 140, 4 888, 5 645, 6 112, 6 761, 7 006, 7 362, 7 379, 7 341, 7 589, 8 086, 8 249, 90 634
636,2015,   Turkmenistan,,795,B R, 1 343, 1 824, 2 792, 3 455, 4 020, 4 721, 5 510, 6 151, 6 736, 7 203, 7 520, 7 714, 7 704, 7 811, 8 215, 8 812, 91 531
637,2020,   Turkmenistan,,795,B R, 1 435, 1 720, 2 170, 3 215, 4 282, 5 026, 5 563, 6 122, 6 584, 7 034, 7 281, 7 459, 7 598, 7 492, 7 320, 12 056, 92 357
638,1990,   Uzbekistan,,860,B R, 19 262, 25 073, 31 935, 37 506, 38 013, 41 443, 49 558, 60 402, 65 512, 59 920, 51 609, 47 696, 50 551, 46 679, 45 446, 53 013, 723 618
639,1995,   Uzbekistan,,860,B R, 17 523, 22 765, 28 981, 34 015, 34 442, 37 519, 44 852, 54 666, 59 286, 54 211, 46 677, 43 118, 45 661, 42 126, 43 832, 47 816, 657 490
640,2000,   Uzbekistan,,860,B R, 10 936, 20 787, 23 360, 26 622, 31 757, 35 580, 37 703, 43 880, 48 427, 51 755, 49 491, 45 341, 43 430, 43 173, 44 920, 49 001, 606 163
641,2005,   Uzbekistan,,860,B R, 9 488, 17 730, 21 546, 24 779, 29 265, 33 627, 37 130, 41 770, 46 114, 48 609, 48 635, 46 653, 44 451, 44 517, 45 615, 49 761, 589 690
642,2010,   Uzbekistan,,860,B R, 7 882, 13 939, 19 306, 22 404, 26 135, 30 884, 35 681, 38 647, 42 756, 44 310, 46 584, 46 693, 44 237, 44 636, 45 093, 49 192, 558 379
643,2015,   Uzbekistan,,860,B R, 7 587, 12 403, 17 856, 21 236, 24 805, 29 271, 33 955, 37 203, 41 035, 43 024, 45 164, 45 673, 43 558, 45 740, 46 493, 50 718, 545 721
644,2020,   Uzbekistan,,860,B R, 8 547, 11 184, 15 324, 22 340, 30 739, 36 289, 38 203, 39 440, 40 101, 41 899, 41 186, 41 681, 39 383, 37 070, 38 068, 61 910, 543 364
652,1990,   China*,,156,C, 10 025, 9 211, 10 926, 14 417, 19 443, 21 928, 21 711, 19 398, 15 287, 11 186, 9 057, 8 532, 7 246, 5 435, 3 261, 4 891, 191 954
653,1995,   China*,,156,C, 12 666, 11 610, 12 119, 14 300, 19 076, 22 006, 23 215, 22 573, 19 382, 15 336, 12 595, 11 146, 9 389, 7 042, 4 225, 6 338, 223 018
654,2000,   China*,,156,C, 15 298, 14 002, 13 316, 14 203, 18 737, 22 113, 24 732, 25 751, 23 464, 19 467, 16 115, 13 749, 11 524, 8 644, 5 187, 7 780, 254 082
655,2005,   China*,,156,C, 23 240, 20 646, 21 067, 24 115, 28 383, 32 568, 35 495, 36 284, 33 914, 29 072, 24 491, 20 552, 17 424, 13 067, 7 841, 11 761, 379 920
656,2010,   China*,,156,C, 31 293, 27 259, 29 105, 34 683, 38 024, 42 683, 45 717, 46 271, 44 180, 38 776, 33 053, 27 434, 23 401, 17 552, 10 531, 15 796, 505 758
657,2015,   China*,,156,C, 42 904, 33 098, 33 537, 39 028, 43 323, 48 695, 52 979, 54 317, 52 334, 46 559, 39 794, 33 092, 27 991, 20 994, 12 597, 18 894, 600 136
658,2020,   China*,,156,C, 38 933, 32 745, 33 910, 41 338, 48 912, 53 728, 56 190, 58 078, 56 561, 51 880, 43 505, 35 647, 28 329, 23 480, 16 376, 18 340, 637 952
659,1990,"   China, Hong Kong SAR*",,344,B R, 10 257, 17 399, 25 438, 39 969, 41 686, 62 066, 97 862, 108 125, 121 236, 102 132, 102 900, 110 785, 105 088, 71 301, 51 424, 56 876,1 124 544
660,1995,"   China, Hong Kong SAR*",,344,B R, 16 758, 26 500, 30 022, 36 141, 49 860, 56 457, 73 132, 107 384, 110 371, 125 089, 105 077, 102 287, 104 494, 91 630, 66 203, 73 682,1 175 087
661,2000,"   China, Hong Kong SAR*",,344,B R, 12 590, 31 906, 49 405, 41 816, 41 679, 59 031, 62 719, 73 662, 117 116, 114 860, 125 963, 105 878, 103 097, 102 333, 84 640, 98 934,1 225 629
662,2005,"   China, Hong Kong SAR*",,344,B R, 8 697, 25 318, 40 153, 53 191, 40 964, 48 501, 56 836, 67 013, 97 276, 112 039, 118 799, 122 752, 98 152, 91 962, 84 699, 118 769,1 185 121
663,2010,"   China, Hong Kong SAR*",,344,B R, 5 853, 12 684, 33 008, 46 376, 44 271, 56 273, 51 870, 69 276, 95 115, 94 929, 113 002, 112 729, 112 033, 86 158, 77 773, 136 189,1 147 539
664,2015,"   China, Hong Kong SAR*",,344,B R, 5 726, 11 719, 17 604, 36 300, 37 738, 58 176, 56 843, 66 512, 102 568, 99 780, 102 604, 112 823, 102 321, 99 391, 71 819, 139 058,1 120 982
665,2020,"   China, Hong Kong SAR*",,344,B R, 14 936, 16 301, 18 295, 33 385, 44 259, 52 835, 52 242, 61 759, 94 006, 106 717, 103 013, 103 102, 102 627, 89 811, 82 044, 132 638,1 107 970
666,1990,"   China, Macao SAR*",,446,B, 1 308, 2 520, 4 819, 6 321, 7 222, 10 891, 15 122, 13 262, 9 598, 5 643, 4 548, 3 992, 3 678, 2 832, 2 160, 2 463, 96 379
667,1995,"   China, Macao SAR*",,446,B, 2 602, 2 489, 3 041, 4 909, 6 705, 10 850, 13 031, 15 273, 13 500, 9 269, 5 282, 4 049, 3 799, 3 429, 2 585, 2 847, 103 660
