Index,Year,"Region, development group, country or area",Notes,Location code,Type of data,0-4,5-9,10-14, 15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75+,Total
491,1990,   Cabo Verde,,132,B R,  403,  802, 1 176, 1 605, 1 345, 1 192, 1 066,  567,  228,  114,  94,  80,  97,  54,  54,  54, 8 931
492,1995,   Cabo Verde,,132,B R,  287,  416,  812, 1 216, 1 839, 1 609, 1 319, 1 053,  543,  277,  182,  130,  99,  81,  56,  60, 9 979
493,2000,   Cabo Verde,,132,B R,  282,  560,  611,  834, 1 363, 1 664, 1 899, 1 468, 1 112,  558,  180,  153,  138,  103,  41,  61, 11 027
494,2005,   Cabo Verde,,132,B R,  229,  370,  624,  836, 1 232, 1 693, 1 864, 1 984, 1 464, 1 103,  521,  261,  177,  138,  104,  100, 12 700
495,2010,   Cabo Verde,,132,B R,  167,  318,  490,  879, 1 206, 1 598, 1 971, 2 020, 2 022, 1 479, 1 079,  468,  244,  165,  111,  156, 14 373
496,2015,   Cabo Verde,,132,B R,  214,  263,  358,  690, 1 316, 1 586, 1 679, 1 862, 1 899, 1 933, 1 357,  957,  381,  176,  109,  144, 14 924
497,2020,   Cabo Verde,,132,B R,  245,  306,  328,  597, 1 206, 1 776, 1 714, 1 592, 1 765, 1 823, 1 812, 1 225,  842,  300,  117,  140, 15 788
498,1990,   Côte d'Ivoire,,384,C B R, 60 831, 71 884, 80 464, 174 375, 297 303, 319 659, 257 369, 192 761, 133 230, 91 920, 59 555, 36 622, 23 554, 11 616, 4 339,  944,1 816 426
499,1995,   Côte d'Ivoire,,384,C B R, 69 803, 78 903, 79 889, 189 679, 341 511, 363 265, 289 036, 216 424, 152 001, 113 955, 73 584, 48 536, 34 978, 17 121, 6 349, 1 360,2 076 394
500,2000,   Côte d'Ivoire,,384,C B R, 72 969, 79 578, 73 425, 189 839, 357 296, 376 876, 297 046, 222 377, 158 185, 125 999, 81 175, 56 018, 43 009, 20 818, 7 493, 1 541,2 163 644
501,2005,   Côte d'Ivoire,,384,C B R, 92 201, 79 379, 83 547, 113 181, 201 518, 298 528, 322 420, 282 473, 227 314, 177 053, 131 844, 96 832, 66 377, 49 239, 29 032, 14 152,2 265 090
502,2010,   Côte d'Ivoire,,384,C B R, 94 837, 75 872, 85 708, 135 862, 197 858, 259 060, 299 539, 293 722, 254 298, 210 383, 153 648, 116 170, 80 553, 57 338, 33 386, 18 303,2 366 537
503,2015,   Côte d'Ivoire,,384,C B R, 91 933, 64 335, 66 527, 121 229, 209 540, 266 235, 282 117, 290 891, 278 417, 242 051, 191 485, 134 699, 98 125, 63 463, 40 633, 28 933,2 470 613
504,2020,   Côte d'Ivoire,,384,C B R, 98 437, 59 577, 54 742, 105 437, 200 949, 282 034, 290 450, 274 317, 275 241, 263 916, 219 498, 167 526, 113 465, 77 177, 44 842, 37 249,2 564 857
505,1990,   Gambia,,270,B R, 11 913, 10 349, 8 668, 13 036, 15 584, 16 737, 12 827, 7 608, 5 875, 4 638, 3 804, 2 223, 1 778, 1 266,  723, 1 094, 118 123
506,1995,   Gambia,,270,B R, 15 253, 13 324, 11 451, 16 445, 19 253, 20 863, 16 476, 10 166, 7 731, 6 001, 4 865, 3 011, 2 409, 1 497,  855, 1 290, 150 890
507,2000,   Gambia,,270,B R, 18 477, 16 197, 14 141, 19 733, 22 785, 24 837, 19 999, 12 642, 9 525, 7 316, 5 888, 3 773, 3 019, 1 719,  982, 1 481, 182 514
508,2005,   Gambia,,270,B R, 17 666, 15 815, 14 333, 18 641, 20 990, 23 511, 19 996, 14 275, 10 880, 7 913, 6 246, 4 240, 3 392, 1 620,  925, 1 396, 181 839
509,2010,   Gambia,,270,B R, 17 210, 15 796, 14 927, 17 891, 19 502, 22 614, 20 517, 16 504, 12 704, 8 797, 6 817, 4 880, 3 904, 1 550,  886, 1 338, 185 837
510,2015,   Gambia,,270,B R, 17 769, 13 833, 12 914, 13 689, 18 357, 20 738, 22 057, 19 292, 15 506, 12 195, 8 509, 6 455, 4 575, 3 480, 1 539, 1 632, 192 540
511,2020,   Gambia,,270,B R, 13 135, 13 132, 11 475, 16 079, 22 387, 26 890, 24 280, 22 086, 18 763, 15 384, 11 256, 7 471, 5 451, 3 593, 2 469, 1 808, 215 659
512,1990,   Ghana,,288,B R, 24 070, 25 354, 21 627, 18 582, 13 087, 11 431, 9 475, 7 931, 7 273, 5 753, 4 691, 3 413, 3 500, 2 689, 2 426, 3 549, 164 851
513,1995,   Ghana,,288,B R, 33 639, 22 521, 22 567, 20 591, 25 439, 25 895, 24 064, 19 355, 16 169, 11 921, 8 730, 6 507, 4 796, 4 139, 3 146, 3 400, 252 879
514,2000,   Ghana,,288,B R, 27 385, 28 845, 24 605, 21 142, 14 890, 13 005, 10 780, 9 024, 8 276, 6 546, 5 337, 3 883, 3 983, 3 060, 2 761, 8 079, 191 601
515,2005,   Ghana,,288,B R, 21 075, 26 896, 27 451, 29 457, 33 976, 31 777, 29 628, 25 287, 20 044, 17 034, 12 508, 10 437, 7 060, 6 082, 4 681, 6 539, 309 932
516,2010,   Ghana,,288,B R, 22 583, 28 733, 31 314, 37 340, 48 524, 46 957, 31 219, 22 530, 17 306, 11 832, 9 334, 5 890, 5 900, 4 391, 5 203, 8 710, 337 766
517,2015,   Ghana,,288,B R, 26 625, 21 337, 25 436, 32 520, 46 601, 58 551, 54 238, 39 233, 29 902, 24 024, 16 794, 12 565, 8 321, 6 681, 4 553, 7 363, 414 744
518,2020,   Ghana,,288,B R, 31 385, 24 575, 21 340, 29 315, 43 925, 58 040, 62 714, 54 849, 41 170, 32 483, 24 928, 17 581, 12 771, 8 385, 6 159, 6 792, 476 412
519,1990,   Guinea,,324,C B R, 43 097, 47 506, 55 692, 47 392, 40 368, 34 899, 29 302, 24 032, 20 074, 16 410, 14 058, 12 955, 7 460, 4 037, 2 947, 3 392, 403 621
520,1995,   Guinea,,324,C B R, 84 715, 92 491, 108 253, 90 284, 75 889, 64 873, 54 810, 45 877, 39 111, 31 981, 27 285, 25 207, 13 912, 7 589, 5 710, 6 518, 774 505
521,2000,   Guinea,,324,C B R, 58 813, 65 268, 76 599, 66 086, 56 788, 49 455, 41 349, 33 464, 27 566, 22 530, 19 356, 17 805, 10 551, 5 680, 4 062, 4 703, 560 075
522,2005,   Guinea,,324,C B R, 19 677, 24 008, 28 597, 29 128, 27 439, 25 634, 20 617, 14 515, 10 073, 8 209, 7 326, 6 585, 5 366, 2 744, 1 561, 1 940, 233 419
523,2010,   Guinea,,324,C B R, 13 436, 17 308, 20 778, 22 842, 22 288, 21 328, 16 934, 11 309, 7 235, 5 889, 5 360, 4 760, 4 436, 2 230, 1 150, 1 479, 178 762
524,2015,   Guinea,,324,C B R, 9 349, 12 149, 14 604, 16 241, 15 925, 15 289, 12 119, 8 033, 5 076, 4 130, 3 772, 3 343, 3 177, 1 593,  810, 1 047, 126 657
525,2020,   Guinea,,324,C B R, 4 815, 6 214, 10 524, 15 545, 18 804, 17 807, 14 725, 10 279, 6 383, 4 218, 3 114, 2 614, 2 368, 2 238,  947,  842, 121 437
526,1990,   Guinea-Bissau,,624,B R, 2 137, 1 932, 1 830, 1 777, 1 560, 1 459, 1 184,  916,  596,  498,  404,  276,  320,  224,  112,  143, 15 368
527,1995,   Guinea-Bissau,,624,B R, 4 026, 3 638, 3 045, 2 912, 2 682, 2 565, 2 157, 1 813, 1 321, 1 050,  762,  584,  567,  397,  198,  244, 27 961
528,2000,   Guinea-Bissau,,624,B R, 3 016, 2 726, 2 076, 1 960, 1 879, 1 828, 1 577, 1 403, 1 091,  844,  571,  470,  406,  284,  142,  177, 20 450
529,2005,   Guinea-Bissau,,624,B R, 3 091, 2 786, 2 121, 2 002, 1 920, 1 867, 1 611, 1 433, 1 114,  861,  582,  479,  414,  289,  144,  188, 20 902
530,2010,   Guinea-Bissau,,624,B R, 3 185, 2 391, 2 101, 1 645, 1 961, 2 190, 1 851, 1 472, 1 258,  983,  766,  496,  370,  304,  212,  206, 21 391
531,2015,   Guinea-Bissau,,624,B R, 3 327, 2 511, 1 810, 1 625, 1 861, 2 385, 2 207, 1 676, 1 273, 1 050,  820,  628,  396,  278,  225,  261, 22 333
532,2020,   Guinea-Bissau,,624,B R, 3 228, 1 377,  763, 1 036, 2 051, 2 057, 1 868, 1 504, 1 178,  956,  737,  592,  207,  149,  113,  129, 17 945
533,1990,   Liberia,,430,B R, 11 798, 11 101, 10 633, 11 407, 11 481, 10 121, 8 211, 6 184, 4 383, 3 000, 2 039, 1 384,  925,  742,  763,  792, 94 964
534,1995,   Liberia,,430,B R, 24 463, 24 523, 21 569, 22 582, 24 778, 22 891, 19 141, 14 926, 10 752, 7 449, 5 008, 3 461, 2 290, 1 557, 1 527, 1 646, 208 563
535,2000,   Liberia,,430,B R, 15 686, 18 234, 15 768, 14 139, 17 171, 17 185, 14 562, 11 976, 8 719, 6 191, 4 138, 2 806, 1 992, 1 183,  976, 1 142, 151 868
536,2005,   Liberia,,430,B R, 7 419, 9 895, 10 232, 7 171, 8 433, 10 527, 8 457, 7 616, 5 602, 4 022, 2 810, 1 757, 1 340,  859,  446,  631, 87 217
537,2010,   Liberia,,430,B R, 8 436, 11 250, 11 634, 8 153, 9 589, 11 966, 9 614, 8 660, 6 370, 4 573, 3 196, 1 998, 1 524,  977,  507,  718, 99 165
538,2015,   Liberia,,430,B R, 7 199, 7 569, 9 011, 12 361, 12 148, 13 544, 13 565, 9 875, 8 596, 6 521, 4 366, 2 897, 1 761, 1 239,  717,  742, 112 111
539,2020,   Liberia,,430,B R, 1 743, 3 618, 4 370, 7 932, 12 379, 11 222, 11 097, 10 512, 7 240, 6 477, 4 641, 2 830, 1 791,  941,  613,  541, 87 947
540,1990,   Mali,,466,B R, 18 396, 26 428, 22 529, 16 162, 13 096, 12 986, 10 303, 7 394, 7 363, 5 155, 4 701, 4 237, 3 567, 2 816, 2 700, 2 903, 160 736
541,1995,   Mali,,466,B R, 17 055, 28 668, 28 100, 19 894, 15 554, 14 161, 11 596, 7 871, 7 639, 4 954, 4 441, 4 215, 3 213, 2 769, 2 679, 3 378, 176 187
542,2000,   Mali,,466,B R, 13 189, 29 156, 32 876, 26 849, 19 023, 15 477, 12 774, 9 690, 7 525, 5 216, 4 438, 3 240, 2 981, 1 944, 1 732, 3 365, 189 475
543,2005,   Mali,,466,B R, 8 601, 15 415, 27 856, 34 006, 33 613, 28 768, 25 418, 21 485, 16 468, 13 157, 9 205, 7 804, 5 347, 4 472, 3 165, 3 850, 258 630
544,2010,   Mali,,466,B R, 23 472, 35 370, 41 185, 50 720, 46 766, 41 913, 28 668, 21 236, 15 163, 10 869, 8 018, 5 434, 4 159, 2 728, 2 415, 2 962, 341 078
545,2015,   Mali,,466,B R, 17 191, 22 922, 31 285, 40 464, 56 794, 58 858, 52 366, 38 385, 29 587, 22 950, 16 384, 11 895, 8 135, 5 699, 3 591, 3 998, 420 504
546,2020,   Mali,,466,B R, 21 341, 20 488, 24 521, 34 648, 49 584, 65 837, 64 513, 55 301, 41 694, 32 999, 24 873, 17 777, 12 691, 8 530, 5 729, 5 303, 485 829
547,1990,   Mauritania,,478,C R, 14 378, 11 331, 8 725, 9 972, 14 409, 15 919, 11 743, 8 043, 5 294, 3 463, 3 036, 1 686, 1 405,  672,  650,  924, 111 650
548,1995,   Mauritania,,478,C R, 10 878, 9 725, 7 587, 7 073, 9 224, 11 473, 10 471, 7 482, 5 045, 3 312, 2 458, 1 786, 1 169,  785,  499,  595, 89 562
549,2000,   Mauritania,,478,C R, 6 589, 6 240, 5 243, 4 440, 4 936, 6 269, 6 652, 5 435, 3 794, 2 531, 1 747, 1 285,  894,  592,  388,  331, 57 366
550,2005,   Mauritania,,478,C R, 6 348, 6 172, 5 524, 4 658, 4 511, 5 391, 6 219, 5 812, 4 440, 3 042, 2 058, 1 458, 1 048,  715,  470,  345, 58 211
551,2010,   Mauritania,,478,C R, 12 560, 10 030, 7 886, 7 362, 8 243, 8 340, 7 600, 6 317, 4 814, 3 421, 2 417, 1 921, 1 290,  981,  753,  985, 84 920
552,2015,   Mauritania,,478,C R, 26 874, 20 376, 15 351, 14 829, 17 308, 16 686, 13 916, 10 914, 8 306, 6 016, 4 343, 3 629, 2 368, 1 884, 1 523, 2 229, 166 552
553,2020,   Mauritania,,478,C R, 23 846, 21 259, 18 091, 16 484, 15 270, 18 883, 17 376, 13 670, 10 689, 8 403, 5 877, 4 128, 3 138, 1 947, 1 380, 1 845, 182 286
554,1990,   Niger,,562,B R, 6 792, 9 692, 8 938, 10 728, 12 784, 13 580, 12 337, 10 229, 7 909, 6 158, 4 676, 3 233, 2 724, 2 009, 1 638, 2 037, 115 464
555,1995,   Niger,,562,B R, 9 185, 12 144, 11 536, 14 286, 15 398, 16 043, 14 568, 13 211, 10 695, 7 902, 5 973, 4 147, 3 651, 2 545, 2 101, 2 614, 145 999
556,2000,   Niger,,562,B R, 16 708, 13 012, 11 874, 13 231, 12 743, 11 428, 10 189, 9 656, 7 820, 3 250, 4 767, 2 653, 2 068,  681,  908, 1 272, 122 260
557,2005,   Niger,,562,B R, 16 013, 14 234, 11 919, 12 024, 12 440, 11 577, 10 359, 9 502, 8 369, 5 301, 3 839, 3 553, 2 260, 1 315,  761, 1 043, 124 509
558,2010,   Niger,,562,B R, 15 013, 12 339, 12 925, 15 973, 11 374, 12 430, 9 241, 7 997, 6 823, 5 528, 4 870, 3 398, 2 739, 2 033, 1 608, 2 191, 126 482
559,2015,   Niger,,562,B R, 26 480, 24 993, 22 213, 22 194, 26 328, 26 995, 24 363, 19 501, 15 863, 13 311, 9 716, 7 492, 5 101, 3 552, 2 264, 2 632, 252 998
560,2020,   Niger,,562,B R, 25 804, 27 518, 29 538, 31 588, 32 489, 37 608, 37 058, 32 358, 25 230, 20 747, 16 652, 11 636, 7 664, 5 061, 3 280, 3 825, 348 056
561,1990,   Nigeria,,566,C R, 114 528, 54 494, 29 407, 30 435, 42 925, 54 856, 43 694, 29 674, 20 220, 12 006, 9 822, 4 297, 4 170, 1 749, 1 854, 2 490, 456 621
562,1995,   Nigeria,,566,C R, 109 873, 52 279, 40 246, 28 704, 35 188, 46 903, 47 275, 35 187, 23 933, 15 458, 10 470, 6 772, 4 061, 2 839, 1 728, 2 083, 462 999
563,2000,   Nigeria,,566,C R, 109 826, 52 256, 46 242, 34 460, 31 932, 41 027, 47 072, 41 209, 29 547, 19 687, 12 958, 8 617, 5 414, 3 449, 2 282, 1 904, 487 882
564,2005,   Nigeria,,566,C R, 207 587, 98 767, 93 084, 76 266, 62 743, 68 949, 83 258, 83 421, 66 867, 46 528, 30 850, 20 389, 13 260, 8 375, 5 415, 3 955, 969 714
565,2010,   Nigeria,,566,C R, 144 647, 108 231, 91 173, 81 272, 69 499, 80 001, 81 419, 84 726, 77 632, 61 978, 42 408, 26 597, 16 496, 10 514, 6 339, 7 562, 990 494
566,2015,   Nigeria,,566,C R, 143 815, 109 209, 90 915, 93 953, 103 526, 119 298, 117 603, 101 461, 84 432, 69 860, 57 539, 42 396, 28 164, 16 858, 10 528, 9 558,1 199 115
567,2020,   Nigeria,,566,C R, 133 878, 94 092, 81 227, 89 613, 114 819, 145 894, 145 135, 133 839, 102 574, 76 072, 62 074, 44 328, 35 430, 24 380, 13 625, 11 588,1 308 568
568,1990,   Saint Helena*,"4, 5",654,C,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,  178
569,1995,   Saint Helena*,"4, 5",654,C,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,  117
570,2000,   Saint Helena*,"4, 5",654,C,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,  108
571,2005,   Saint Helena*,"4, 5",654,C,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,  163
572,2010,   Saint Helena*,"4, 5",654,C,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,  248
573,2015,   Saint Helena*,"4, 5",654,C,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,  377
574,2020,   Saint Helena*,"4, 5",654,C,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,  437
575,1990,   Senegal,,686,B R, 15 101, 17 867, 22 735, 28 377, 33 049, 32 395, 28 242, 21 944, 17 651, 14 026, 12 000, 9 439, 6 343, 3 827, 3 222, 4 192, 270 410
576,1995,   Senegal,,686,B R, 16 628, 19 382, 24 145, 29 737, 36 371, 36 235, 31 456, 24 131, 19 450, 14 765, 12 255, 9 286, 6 014, 3 408, 2 444, 1 947, 287 654
577,2000,   Senegal,,686,B R, 13 273, 16 611, 21 529, 26 769, 31 428, 29 673, 24 972, 18 473, 14 906, 11 256, 9 425, 6 924, 3 791, 1 727,  799,  345, 231 901
578,2005,   Senegal,,686,B R, 13 346, 17 103, 21 871, 27 708, 32 903, 30 994, 26 055, 19 252, 15 271, 11 522, 9 277, 6 770, 3 463, 1 552,  685,  526, 238 298
579,2010,   Senegal,,686,B R, 13 700, 17 853, 22 783, 29 338, 35 183, 33 631, 28 621, 21 466, 16 867, 12 839, 10 036, 7 058, 3 562, 1 616,  698,  841, 256 092
580,2015,   Senegal,,686,B R, 14 177, 18 390, 23 315, 30 554, 37 496, 36 004, 30 152, 22 441, 17 574, 13 382, 10 107, 6 944, 3 414, 1 466,  565,  515, 266 496
581,2020,   Senegal,,686,B R, 14 482, 18 601, 23 545, 31 548, 39 628, 38 150, 31 459, 23 236, 18 139, 13 813, 10 096, 6 785, 3 211, 1 310,  457,  469, 274 929
582,1990,   Sierra Leone,,694,B R, 23 733, 30 315, 30 922, 24 163, 22 258, 19 217, 14 759, 12 842, 9 384, 7 371, 6 084, 4 448, 4 972, 3 248, 3 886, 4 546, 222 148
583,1995,   Sierra Leone,,694,B R, 6 385, 10 621, 14 524, 14 838, 11 891, 9 290, 6 904, 5 411, 3 914, 3 020, 2 255, 1 905, 1 860, 1 506, 1 977, 2 215, 98 516
584,2000,   Sierra Leone,,694,B R, 6 116, 9 806, 13 703, 14 556, 12 269, 9 762, 7 141, 5 740, 4 095, 3 181, 2 366, 1 879, 1 911, 1 502, 1 831, 2 116, 97 974
585,2005,   Sierra Leone,,694,B R, 12 448, 18 215, 19 256, 18 802, 16 744, 14 237, 10 470, 9 029, 6 416, 5 075, 3 970, 2 865, 2 283, 2 027, 1 992, 2 398, 146 227
586,2010,   Sierra Leone,,694,B R, 3 697, 7 219, 9 146, 12 122, 10 469, 8 989, 6 300, 5 383, 3 708, 2 954, 2 204, 1 585, 1 417, 1 288, 1 242, 1 542, 79 265
587,2015,   Sierra Leone,,694,B R, 2 694, 4 804, 5 856, 9 260, 8 032, 7 158, 4 728, 4 172, 2 765, 2 235, 1 649, 1 119, 1 141, 1 051,  934, 1 232, 58 830
588,2020,   Sierra Leone,,694,B R, 1 980, 2 242, 3 381, 4 594, 7 630, 7 570, 6 729, 4 729, 3 946, 3 021, 2 288, 1 664, 1 139,  954,  765, 1 114, 53 746
589,1990,   Togo,,768,C R, 11 461, 12 414, 12 347, 8 986, 7 892, 7 661, 6 064, 5 028, 3 493, 2 870, 2 136, 1 175, 1 164,  811,  454,  888, 84 844
590,1995,   Togo,,768,C R, 13 159, 13 934, 14 207, 11 463, 9 457, 8 904, 7 523, 6 138, 4 535, 3 511, 2 704, 1 677, 1 346, 1 048,  640, 1 337, 101 583
591,2000,   Togo,,768,C R, 15 932, 16 392, 17 230, 15 777, 13 866, 12 992, 11 414, 9 329, 6 975, 5 170, 3 944, 2 808, 2 181, 1 277,  859, 1 822, 137 968
592,2005,   Togo,,768,C R, 22 762, 23 610, 24 950, 23 138, 20 655, 19 151, 17 122, 14 406, 10 907, 8 173, 5 984, 4 435, 3 250, 2 166, 1 346, 2 164, 204 219
593,2010,   Togo,,768,C R, 28 392, 31 113, 33 893, 28 418, 25 232, 24 048, 21 241, 18 243, 13 099, 10 147, 6 703, 5 148, 3 393, 2 564, 1 515, 2 415, 255 564
594,2015,   Togo,,768,C R, 30 436, 33 125, 36 302, 31 340, 27 389, 25 920, 23 155, 19 973, 14 695, 11 219, 7 567, 5 630, 3 784, 2 790, 1 734, 2 325, 277 384
595,2020,   Togo,,768,C R, 28 427, 25 252, 27 499, 31 135, 29 086, 26 891, 25 112, 21 964, 18 724, 14 067, 10 610, 7 230, 5 307, 3 543, 2 537, 2 552, 279 936
610,1990,   Kazakhstan,,398,B R, 95 920, 119 471, 155 586, 189 103, 200 313, 227 077, 277 006, 338 925, 367 564, 320 761, 292 655, 276 723, 258 239, 205 824, 117 613, 176 420,3 619 200
611,1995,   Kazakhstan,,398,B R, 72 632, 104 779, 129 602, 155 712, 176 437, 202 477, 234 740, 281 935, 307 890, 293 396, 274 427, 258 500, 258 697, 206 189, 117 822, 176 733,3 251 968
612,2000,   Kazakhstan,,398,B R, 50 680, 92 689, 106 559, 125 774, 156 974, 183 041, 197 972, 231 325, 255 274, 273 812, 263 738, 247 341, 234 707, 187 068, 106 896, 160 344,2 874 194
613,2005,   Kazakhstan,,398,B R, 56 492, 93 163, 113 437, 163 398, 269 997, 240 522, 207 364, 215 083, 234 289, 250 387, 259 709, 256 812, 228 562, 202 285, 157 809, 153 718,3 103 027
614,2010,   Kazakhstan,,398,B R, 49 630, 103 366, 113 237, 169 184, 313 544, 364 427, 263 153, 215 872, 218 009, 234 367, 246 250, 253 444, 236 053, 196 195, 168 959, 189 247,3 334 937
615,2015,   Kazakhstan,,398,B R, 41 058, 100 127, 121 801, 165 916, 321 927, 417 847, 382 613, 259 826, 217 294, 222 514, 239 748, 240 579, 231 039, 201 820, 163 011, 218 940,3 546 060
616,2020,   Kazakhstan,,398,B R, 43 854, 93 869, 118 017, 175 990, 326 707, 428 675, 430 525, 371 633, 256 603, 219 412, 226 747, 232 690, 217 215, 195 436, 166 640, 228 060,3 732 073
617,1990,   Kyrgyzstan,,417,B R, 21 569, 27 073, 30 637, 35 574, 38 183, 44 865, 53 620, 58 349, 56 398, 50 240, 44 398, 42 412, 39 087, 32 317, 24 995, 23 366, 623 083
618,1995,   Kyrgyzstan,,417,B R, 1 736, 17 350, 21 849, 25 430, 33 510, 31 375, 34 612, 44 914, 50 067, 49 138, 43 954, 40 075, 37 581, 32 723, 25 171, 28 853, 518 338
619,2000,   Kyrgyzstan,,417,B R, 5 137, 12 868, 16 152, 18 279, 21 225, 22 781, 24 736, 31 986, 34 813, 33 649, 28 903, 29 440, 27 132, 27 032, 28 739, 26 952, 389 824
620,2005,   Kyrgyzstan,,417,B R, 3 613, 5 704, 9 682, 13 077, 21 098, 18 970, 16 003, 18 032, 24 624, 27 576, 26 316, 24 405, 24 679, 21 717, 21 340, 32 563, 309 399
621,2010,   Kyrgyzstan,,417,B R, 3 829, 4 302, 6 379, 13 013, 17 947, 14 758, 13 845, 14 614, 16 217, 19 821, 21 257, 19 545, 14 047, 13 815, 11 741, 26 935, 232 065
622,2015,   Kyrgyzstan,,417,B R, 1 484, 4 125, 4 214, 6 813, 16 531, 21 327, 16 309, 13 457, 13 254, 13 525, 15 709, 17 656, 15 904, 11 096, 11 661, 21 317, 204 382
623,2020,   Kyrgyzstan,,417,B R, 1 467, 2 246, 4 535, 5 176, 10 905, 21 072, 24 811, 18 282, 14 616, 13 034, 11 738, 13 926, 15 182, 13 371, 9 665, 18 985, 199 011
624,1990,   Tajikistan,,762,B R, 9 954, 12 400, 16 151, 19 633, 20 797, 23 572, 28 747, 35 169, 38 137, 35 005, 30 365, 28 712, 31 748, 32 508, 33 493, 32 509, 428 900
625,1995,   Tajikistan,,762,B R, 7 142, 8 896, 11 895, 14 545, 16 273, 18 825, 22 056, 26 446, 29 592, 29 681, 27 936, 26 113, 26 480, 26 386, 28 035, 28 046, 348 347
626,2000,   Tajikistan,,762,B R, 4 978, 6 201, 8 720, 10 781, 13 230, 15 792, 17 371, 20 129, 23 740, 27 062, 28 054, 25 893, 23 624, 22 913, 24 391, 26 620, 299 499
627,2005,   Tajikistan,,762,B R, 3 986, 4 965, 7 495, 9 286, 11 807, 14 231, 16 150, 18 871, 21 783, 24 936, 26 890, 26 692, 25 576, 23 726, 21 692, 22 380, 280 466
628,2010,   Tajikistan,,762,B R, 3 251, 4 049, 6 757, 8 395, 11 155, 13 600, 15 985, 18 849, 21 250, 24 443, 27 491, 29 253, 29 224, 25 116, 20 159, 20 831, 279 808
629,2015,   Tajikistan,,762,B R, 2 690, 3 657, 5 415, 7 592, 9 795, 12 404, 14 823, 17 453, 20 092, 22 895, 26 022, 28 432, 29 300, 27 228, 22 685, 24 618, 275 101
630,2020,   Tajikistan,,762,B R, 3 003, 3 979, 5 682, 7 762, 9 877, 12 501, 14 906, 17 508, 20 120, 22 899, 25 990, 28 383, 29 200, 27 113, 22 585, 24 523, 276 031
631,1990,   Turkmenistan,,795,B R, 7 113, 8 859, 11 537, 14 023, 14 854, 16 839, 20 541, 25 133, 27 257, 25 019, 21 702, 20 521, 22 691, 23 235, 23 939, 23 237, 306 500
632,1995,   Turkmenistan,,795,B R, 6 348, 7 907, 10 297, 12 516, 13 257, 15 029, 18 333, 22 432, 24 328, 22 330, 19 370, 18 315, 20 252, 20 738, 21 366, 20 747, 273 565
633,2000,   Turkmenistan,,795,B R, 3 405, 6 228, 7 160, 8 451, 10 548, 12 300, 13 303, 15 544, 17 154, 18 399, 17 723, 16 621, 16 626, 17 234, 18 346, 20 025, 219 067
634,2005,   Turkmenistan,,795,B R, 3 311, 6 057, 6 963, 8 218, 10 258, 11 962, 12 937, 15 117, 16 683, 17 893, 17 236, 16 164, 16 169, 16 760, 17 842, 19 483, 213 053
635,2010,   Turkmenistan,,795,B R, 2 525, 4 199, 5 802, 6 971, 8 408, 10 173, 11 907, 12 974, 14 418, 15 017, 16 026, 16 194, 16 179, 16 974, 19 390, 20 822, 197 979
636,2015,   Turkmenistan,,795,B R, 2 743, 3 494, 5 196, 6 637, 7 992, 9 656, 11 475, 12 929, 14 234, 15 296, 16 132, 16 743, 16 823, 17 229, 18 897, 20 900, 196 376
637,2020,   Turkmenistan,,795,B R, 2 878, 3 243, 3 978, 6 078, 8 367, 10 094, 11 370, 12 626, 13 650, 14 649, 15 312, 15 864, 16 254, 16 183, 16 461, 27 913, 194 920
638,1990,   Uzbekistan,,860,B R, 38 362, 47 781, 62 225, 75 631, 80 114, 90 818, 110 783, 135 551, 147 004, 134 934, 117 045, 110 673, 122 377, 117 702, 125 299, 136 701,1 653 000
639,1995,   Uzbekistan,,860,B R, 35 103, 43 721, 56 938, 69 206, 73 308, 83 102, 101 371, 124 035, 134 515, 123 471, 107 101, 101 271, 111 981, 107 703, 114 654, 125 097,1 512 577
640,2000,   Uzbekistan,,860,B R, 21 866, 39 991, 45 976, 54 266, 67 727, 78 975, 85 413, 99 808, 110 140, 118 139, 113 792, 106 718, 106 749, 110 645, 117 783, 128 510,1 406 498
641,2005,   Uzbekistan,,860,B R, 18 980, 33 336, 41 515, 49 404, 60 704, 71 991, 80 819, 91 364, 101 151, 107 031, 108 208, 105 291, 105 255, 110 009, 117 105, 127 769,1 329 932
642,2010,   Uzbekistan,,860,B R, 15 741, 26 170, 36 157, 43 446, 52 403, 63 401, 74 201, 80 855, 89 851, 93 586, 99 877, 100 919, 100 822, 106 237, 113 091, 123 392,1 220 149
643,2015,   Uzbekistan,,860,B R, 15 144, 23 276, 32 877, 40 392, 48 735, 58 932, 69 345, 76 511, 84 782, 89 316, 94 956, 96 894, 97 059, 106 217, 113 070, 123 367,1 170 873
644,2020,   Uzbekistan,,860,B R, 17 046, 20 973, 28 198, 42 463, 60 348, 73 003, 77 955, 81 040, 82 779, 86 902, 86 512, 88 340, 87 658, 85 973, 92 450, 150 367,1 162 007
